Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
bid,Flatbush-Nostrand Junction?BID,pp,70,1939398.447162633,1939398.4047555786,99.99999781339135
bid,Flatbush-Nostrand Junction?BID,fb,41,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,sd,22,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,cd,314,1939398.447162633,1939398.4127996922,99.99999822816498
bid,Flatbush-Nostrand Junction?BID,dsny,BKS14,1939398.447162633,1939326.602833554,99.9962955353922
bid,Flatbush-Nostrand Junction?BID,hc,35,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,cc_upcoming,45,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,cc,45,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,nycongress,9,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,sa,42,1939398.447162633,1939398.4449464357,99.99999988572759
bid,Flatbush-Nostrand Junction?BID,ss,21,1939398.447162633,1939398.4471626326,99.99999999999997
bid,Flatbush-Nostrand Junction?BID,nta,Flatbush,1939398.447162633,1896049.488421233,97.7648245101557
bid,Flatbush-Nostrand Junction?BID,zipcode,11210,1939398.447162633,1939398.4471626326,99.99999999999997
bid,125th Street BID,pp,28,1660015.1142662496,1439017.101428538,86.6869879112278
bid,125th Street BID,fb,11,1660015.1142662496,828469.3231931785,49.907336148525
bid,125th Street BID,fb,12,1660015.1142662496,831545.7613886627,50.09266206327392
bid,125th Street BID,sd,5,1660015.1142662496,1660015.114266249,99.99999999999996
bid,125th Street BID,cd,110,1660015.1142662496,1439017.101428538,86.6869879112278
bid,125th Street BID,dsny,MN10,1660015.1142662496,1438994.5907607137,86.68563185924785
bid,125th Street BID,hc,11,1660015.1142662496,1493118.795643264,89.94609644281726
bid,125th Street BID,cc_upcoming,9,1660015.1142662496,1660015.1111610366,99.99999981294069
bid,125th Street BID,cc,9,1660015.1142662496,1660015.1111610366,99.99999981294069
bid,125th Street BID,nycongress,13,1660015.1142662496,1660015.114266249,99.99999999999996
bid,125th Street BID,sa,70,1660015.1142662496,1605913.4428935994,96.74089284442667
bid,125th Street BID,ss,30,1660015.1142662496,1660015.114266249,99.99999999999996
bid,125th Street BID,nta,Central Harlem South,1660015.1142662496,1439017.0690366314,86.68698595992588
bid,125th Street BID,zipcode,10027,1660015.1142662496,1606032.5577928345,96.74806837543306
bid,Bay Ridge 5th Avenue?BID,pp,68,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,fb,40,1838792.8177364154,1765799.6792474187,96.0303772243981
bid,Bay Ridge 5th Avenue?BID,sd,20,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,cd,310,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,dsny,BKS10,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,hc,31,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,cc_upcoming,47,1838792.8177364154,1838792.817736414,99.99999999999993
bid,Bay Ridge 5th Avenue?BID,cc,43,1838792.8177364154,1834656.8108360008,99.77506944444639
bid,Bay Ridge 5th Avenue?BID,nycongress,10,1838792.8177364154,729891.1738396096,39.694040938125795
bid,Bay Ridge 5th Avenue?BID,sa,51,1838792.8177364154,634897.6977360549,34.52796267268569
bid,Bay Ridge 5th Avenue?BID,ss,17,1838792.8177364154,806555.9787442465,43.86334180580118
bid,Bay Ridge 5th Avenue?BID,nta,Bay Ridge,1838792.8177364154,1838792.8177364173,100.00000000000011
bid,Bay Ridge 5th Avenue?BID,zipcode,11220,1838792.8177364154,729909.2692136796,39.69502502800778
bid,Hudson Yards/Hell's Kitchen,pp,10,5376875.425659041,5069290.924709668,94.27949363525244
bid,Hudson Yards/Hell's Kitchen,fb,7,5376875.425659041,5376872.152582406,99.99993912679064
bid,Hudson Yards/Hell's Kitchen,sd,2,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,cd,104,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,dsny,MN04,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,hc,15,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,cc_upcoming,3,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,cc,3,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,nycongress,12,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,sa,75,5376875.425659041,5376829.374602261,99.99914353498762
bid,Hudson Yards/Hell's Kitchen,ss,47,5376875.425659041,5376875.425659045,100.00000000000007
bid,Hudson Yards/Hell's Kitchen,nta,Hudson Yards-Chelsea-Flatiron-Union Square,5376875.425659041,4236252.980572716,78.786519032166
bid,Hudson Yards/Hell's Kitchen,nta,Clinton,5376875.425659041,1140622.445086326,21.213480967834037
bid,Hudson Yards/Hell's Kitchen,zipcode,10001,5376875.425659041,1793972.6799390882,33.36459445160387
bid,Hudson Yards/Hell's Kitchen,zipcode,10018,5376875.425659041,2976985.4100674232,55.36645680613914
bid,Hudson Yards/Hell's Kitchen,zipcode,10036,5376875.425659041,605917.3356525261,11.268948742256924
bid,North Flatbush?BID,pp,78,1267327.925704307,1267327.9257043074,100.00000000000004
bid,North Flatbush?BID,fb,57,1267327.925704307,1099194.0407937025,86.73319813282222
bid,North Flatbush?BID,sd,15,1267327.925704307,257053.02659560426,20.283071285811776
bid,North Flatbush?BID,sd,13,1267327.925704307,1010274.8991087027,79.71692871418823
bid,North Flatbush?BID,cd,306,1267327.925704307,663922.9522536779,52.38762113481468
bid,North Flatbush?BID,cd,302,1267327.925704307,334950.8008176976,26.429686746747215
bid,North Flatbush?BID,dsny,BKS06,1267327.925704307,669429.6459988933,52.822133279108755
bid,North Flatbush?BID,dsny,BKN02,1267327.925704307,331206.64525402954,26.134249749918848
bid,North Flatbush?BID,hc,38,1267327.925704307,1188237.511820864,93.75927790437592
bid,North Flatbush?BID,cc_upcoming,35,1267327.925704307,665172.0986055983,52.48618649635882
bid,North Flatbush?BID,cc,35,1267327.925704307,665172.0986055983,52.48618649635882
bid,North Flatbush?BID,nycongress,10,1267327.925704307,1267327.9257043074,100.00000000000004
bid,North Flatbush?BID,sa,44,1267327.925704307,550209.5359737824,43.41493032815544
bid,North Flatbush?BID,ss,25,1267327.925704307,933032.4079684743,73.62201913525651
bid,North Flatbush?BID,nta,Park Slope-Gowanus,1267327.925704307,830161.6829314095,65.50488362907761
bid,North Flatbush?BID,zipcode,11217,1267327.925704307,1185909.4838014834,93.5755821163985
bid,MetroTech?BID,pp,78,5138166.969570179,536327.5088814072,10.43810977840357
bid,MetroTech?BID,pp,84,5138166.969570179,3061214.96237465,59.57795806372421
bid,MetroTech?BID,pp,88,5138166.969570179,1540624.4983141206,29.983932157872207
bid,MetroTech?BID,fb,57,5138166.969570179,662088.0283195352,12.885685347335466
bid,MetroTech?BID,fb,32,5138166.969570179,672659.7237741211,13.091433730313184
bid,MetroTech?BID,fb,31,5138166.969570179,3803419.2174765235,74.02288092235138
bid,MetroTech?BID,sd,15,5138166.969570179,1184398.525238793,23.05099332608631
bid,MetroTech?BID,sd,13,5138166.969570179,3953768.444331384,76.94900667391366
bid,MetroTech?BID,cd,302,5138166.969570179,5138166.969570179,100.0
bid,MetroTech?BID,dsny,BKN02,5138166.969570179,5138166.969570179,100.0
bid,MetroTech?BID,hc,36,5138166.969570179,3818454.2833498325,74.31549628425674
bid,MetroTech?BID,hc,38,5138166.969570179,1319712.6862203479,25.684503715743308
bid,MetroTech?BID,cc_upcoming,35,5138166.969570179,2237108.6340599814,43.53904120494398
bid,MetroTech?BID,cc_upcoming,33,5138166.969570179,2874188.5224419846,55.9380132927525
bid,MetroTech?BID,cc,35,5138166.969570179,2301549.236572312,44.79319668284044
bid,MetroTech?BID,cc,33,5138166.969570179,2809747.919929652,54.683857814856005
bid,MetroTech?BID,nycongress,10,5138166.969570179,2111067.159068957,41.08599762466562
bid,MetroTech?BID,nycongress,7,5138166.969570179,3027099.81050122,58.91400237533435
bid,MetroTech?BID,sa,57,5138166.969570179,2027868.7653333405,39.46677438360819
bid,MetroTech?BID,sa,52,5138166.969570179,3110298.204236838,60.5332256163918
bid,MetroTech?BID,ss,26,5138166.969570179,5138166.969570178,99.99999999999997
bid,MetroTech?BID,nta,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5138166.969570179,3120932.164453576,60.74018580822121
bid,MetroTech?BID,nta,Fort Greene,5138166.969570179,1990364.9920483904,38.736868689475266
bid,MetroTech?BID,zipcode,11217,5138166.969570179,1324782.1833918914,25.783167250843796
bid,MetroTech?BID,zipcode,11201,5138166.969570179,3813384.7861782876,74.21683274915621
bid,MetroTech?BID,hd,Brooklyn Academy of Music Historic District,5138166.969570179,136438.23441650148,2.6553873244005324
bid,Pitkin Avenue?BID,pp,73,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,fb,44,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,sd,23,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,cd,316,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,dsny,BKN16,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,hc,33,1214870.9754949738,1214870.9754949736,99.99999999999997
bid,Pitkin Avenue?BID,cc_upcoming,41,1214870.9754949738,1170016.3195536651,96.30786669151976
bid,Pitkin Avenue?BID,cc,41,1214870.9754949738,1170016.3195536651,96.30786669151976
bid,Pitkin Avenue?BID,nycongress,8,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,sa,55,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,ss,25,1214870.9754949738,1214870.9754949738,100.0
bid,Pitkin Avenue?BID,nta,Brownsville,1214870.9754949738,1214870.9754949736,99.99999999999997
bid,Pitkin Avenue?BID,zipcode,11212,1214870.9754949738,1214734.4692715371,99.98876372666808
bid,Jamaica Center BID,pp,103,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,fb,50,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,sd,29,2844986.2509768032,282878.8324466274,9.943065009523446
bid,Jamaica Center BID,sd,28,2844986.2509768032,2562107.418530174,90.05693499047649
bid,Jamaica Center BID,cd,412,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,dsny,QE12,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,hc,45,2844986.2509768032,1448767.1677186056,50.92352088595096
bid,Jamaica Center BID,hc,44,2844986.2509768032,1396219.083258196,49.07647911404898
bid,Jamaica Center BID,cc_upcoming,27,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,cc,27,2844986.2509768032,1575478.9699450573,55.37738431615018
bid,Jamaica Center BID,cc,24,2844986.2509768032,1269507.2810317432,44.62261568384972
bid,Jamaica Center BID,nycongress,5,2844986.2509768032,2844986.250976801,99.99999999999993
bid,Jamaica Center BID,sa,29,2844986.2509768032,787108.9218786493,27.66652814608161
bid,Jamaica Center BID,sa,32,2844986.2509768032,2057877.3290981522,72.33347185391833
bid,Jamaica Center BID,ss,14,2844986.2509768032,2844986.2509768014,99.99999999999993
bid,Jamaica Center BID,nta,Jamaica,2844986.2509768032,2844986.2509768023,99.99999999999997
bid,Jamaica Center BID,zipcode,11433,2844986.2509768032,1147718.1829878225,40.34178311384677
bid,Jamaica Center BID,zipcode,11432,2844986.2509768032,1422152.9371910277,49.98804253281515
bid,Lincoln Square BID,pp,18,3633648.299408913,235639.0989880882,6.484917624702965
bid,Lincoln Square BID,pp,20,3633648.299408913,3398009.2004208253,93.51508237529704
bid,Lincoln Square BID,fb,9,3633648.299408913,3633648.299408913,100.0
bid,Lincoln Square BID,sd,2,3633648.299408913,132860.96554905252,3.656406856179919
bid,Lincoln Square BID,sd,3,3633648.299408913,3500787.3338598562,96.34359314381996
bid,Lincoln Square BID,cd,104,3633648.299408913,235639.09898808828,6.484917624702968
bid,Lincoln Square BID,cd,107,3633648.299408913,3398009.2004208253,93.51508237529704
bid,Lincoln Square BID,dsny,MN04,3633648.299408913,237332.1075148,6.531510150649608
bid,Lincoln Square BID,dsny,MN07,3633648.299408913,3394448.067059802,93.41707802629048
bid,Lincoln Square BID,hc,15,3633648.299408913,3633648.299408916,100.00000000000007
bid,Lincoln Square BID,cc_upcoming,6,3633648.299408913,3633648.299408916,100.00000000000007
bid,Lincoln Square BID,cc,3,3633648.299408913,1274489.370477328,35.07464854770479
bid,Lincoln Square BID,cc,6,3633648.299408913,2359158.9289315855,64.92535145229522
bid,Lincoln Square BID,nycongress,12,3633648.299408913,3633648.299408916,100.00000000000007
bid,Lincoln Square BID,sa,75,3633648.299408913,1455578.5575939133,40.05832259084328
bid,Lincoln Square BID,sa,67,3633648.299408913,2178069.7418149994,59.94167740915671
bid,Lincoln Square BID,ss,47,3633648.299408913,3633648.299408916,100.00000000000007
bid,Lincoln Square BID,nta,Lincoln Square,3633648.299408913,3633648.299408916,100.00000000000007
