Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
dsny,SI03,pp,123,598967077.9707516,450628013.10215026,75.23418726599111
dsny,SI03,pp,122,598967077.9707516,140504677.4527277,23.457829757312425
dsny,SI03,pp,121,598967077.9707516,7728218.604612965,1.2902576600362572
dsny,SI03,fb,23,598967077.9707516,595333099.3386533,99.39329242528488
dsny,SI03,sd,31,598967077.9707516,595547644.1942236,99.42911156517772
dsny,SI03,bid,South Shore BID,598967077.9707516,4342881.524968998,0.7250618080182808
dsny,SI03,ibz,Rossville,598967077.9707516,21022738.4814314,3.50983205164708
dsny,SI03,cd,503,598967077.9707516,598630683.9451252,99.94383764350353
dsny,SI03,hc,51,598967077.9707516,598860909.159492,99.98227468333998
dsny,SI03,cc_upcoming,51,598967077.9707516,539429113.3317525,90.05989363543844
dsny,SI03,cc_upcoming,50,598967077.9707516,59431795.82773815,9.922381047901315
dsny,SI03,cc,51,598967077.9707516,552574260.7136582,92.2545296789486
dsny,SI03,cc,50,598967077.9707516,46298695.51569111,7.7297563119073365
dsny,SI03,nycongress,11,598967077.9707516,598860909.159492,99.98227468333998
dsny,SI03,sa,62,598967077.9707516,527552192.9021526,88.07699326137482
dsny,SI03,sa,64,598967077.9707516,70796184.4153708,11.819712137639037
dsny,SI03,sa,63,598967077.9707516,512531.84196604934,0.08556928432568658
dsny,SI03,ss,24,598967077.9707516,598860909.159492,99.98227468333998
dsny,SI03,nta,Charleston-Richmond Valley-Tottenville,598967077.9707516,145477016.64424437,24.287982093624887
dsny,SI03,nta,Annadale-Huguenot-Prince's Bay-Eltingville,598967077.9707516,141060588.47312075,23.550641372648016
dsny,SI03,nta,Rossville-Woodrow,598967077.9707516,64963319.10241148,10.845891450745766
dsny,SI03,nta,Great Kills,598967077.9707516,89546081.34717588,14.950084009717232
dsny,SI03,nta,Arden Heights,598967077.9707516,50412649.34055905,8.416597705395215
dsny,SI03,nta,Oakwood-Oakwood Beach,598967077.9707516,52442946.843793474,8.755564165807847
dsny,SI03,nta,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,598967077.9707516,8336039.473729521,1.3917358366291679
dsny,SI03,nta,New Springville-Bloomfield-Travis,598967077.9707516,46461543.19996714,7.75694439790828
dsny,SI03,zipcode,10307,598967077.9707516,45195573.54201386,7.545585592973246
dsny,SI03,zipcode,10309,598967077.9707516,213538403.26320505,35.651108569548526
dsny,SI03,zipcode,10312,598967077.9707516,166079890.3339385,27.72771600345761
dsny,SI03,zipcode,10308,598967077.9707516,62366269.44538933,10.412303403499374
dsny,SI03,zipcode,10306,598967077.9707516,69087048.87694506,11.534364978957772
dsny,SI03,zipcode,10314,598967077.9707516,42332153.88160708,7.067525985739438
dsny,SI02,pp,123,593136691.3790455,10028206.602405202,1.6907075128145548
dsny,SI02,pp,122,593136691.3790455,263767836.8624858,44.469991605008346
dsny,SI02,pp,121,593136691.3790455,319175003.32491297,53.81137399927657
dsny,SI02,fb,23,593136691.3790455,136007705.28603014,22.930246478229428
dsny,SI02,fb,21,593136691.3790455,142409698.18447885,24.009591760943948
dsny,SI02,fb,22,593136691.3790455,308869106.36099434,52.07384922400809
dsny,SI02,sd,31,593136691.3790455,576883039.1723691,97.25971223110704
dsny,SI02,bid,New Dorp BID,593136691.3790455,1465436.4675028091,0.24706555652385334
dsny,SI02,bid,West Shore BID,593136691.3790455,10927992.848417848,1.8424071562678435
dsny,SI02,ibz,Staten Island West Shore,593136691.3790455,65668378.088180974,11.071373435944706
dsny,SI02,cd,503,593136691.3790455,1203689.523533937,0.20293627776345338
dsny,SI02,cd,502,593136691.3790455,591211314.6072091,99.67539071518912
dsny,SI02,hc,51,593136691.3790455,593026985.9405835,99.98150418949687
dsny,SI02,cc_upcoming,51,593136691.3790455,95135063.45931107,16.03931519362284
dsny,SI02,cc_upcoming,50,593136691.3790455,490847598.4422369,82.75454976508266
dsny,SI02,cc_upcoming,49,593136691.3790455,7044324.039035273,1.1876392307913355
dsny,SI02,cc,51,593136691.3790455,79584685.94144249,13.417596162599171
dsny,SI02,cc,50,593136691.3790455,504514441.24721205,85.05871388165411
dsny,SI02,cc,49,593136691.3790455,9011491.559869837,1.5192942353503842
dsny,SI02,nycongress,11,593136691.3790455,593026985.9405835,99.98150418949687
dsny,SI02,sa,62,593136691.3790455,40110283.298308864,6.762401294894145
dsny,SI02,sa,64,593136691.3790455,215430930.5385179,36.32062114343997
dsny,SI02,sa,63,593136691.3790455,337485772.10375607,56.89848175116264
dsny,SI02,ss,24,593136691.3790455,518351867.2077978,87.39163749971823
dsny,SI02,ss,23,593136691.3790455,74675118.73278514,12.589866689778564
dsny,SI02,nta,Oakwood-Oakwood Beach,593136691.3790455,789276.3680114786,0.133068208303959
dsny,SI02,nta,New Dorp-Midland Beach,593136691.3790455,44082980.00133628,7.4321788960388115
dsny,SI02,nta,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,593136691.3790455,176519541.55635628,29.76034767735369
dsny,SI02,nta,Old Town-Dongan Hills-South Beach,593136691.3790455,61175612.02408399,10.313914636076621
dsny,SI02,nta,New Springville-Bloomfield-Travis,593136691.3790455,279980457.1185767,47.20336158392442
dsny,SI02,nta,Grasmere-Arrochar-Ft. Wadsworth,593136691.3790455,29906014.562933166,5.042010551294938
dsny,SI02,zipcode,10312,593136691.3790455,2161223.6775494018,0.3643719414026718
dsny,SI02,zipcode,10306,593136691.3790455,68736190.28210543,11.588591850943073
dsny,SI02,zipcode,10305,593136691.3790455,68473571.28288381,11.544315547851616
