Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
hc,34,pp,79,117431145.490638,4506126.024906215,3.837249484435506
hc,34,pp,75,117431145.490638,39872954.97333621,33.95432685829929
hc,34,pp,73,117431145.490638,10384562.081251169,8.843107199426118
hc,34,pp,81,117431145.490638,6005472.370956277,5.11403712010546
hc,34,pp,83,117431145.490638,56637946.6660715,48.230770831224554
hc,34,fb,57,117431145.490638,8776502.258380933,7.473743206465294
hc,34,fb,39,117431145.490638,18256593.522811968,15.546636666562572
hc,34,fb,44,117431145.490638,39291504.71770992,33.459185426103474
hc,34,fb,37,117431145.490638,28221859.55221001,24.032686928409422
hc,34,fb,28,117431145.490638,22884685.439525243,19.487747772459297
hc,34,sd,14,117431145.490638,6605505.326691205,5.625002889218872
hc,34,sd,19,117431145.490638,45357650.03181264,38.62488937011068
hc,34,sd,23,117431145.490638,11599490.186838431,9.87769482991476
hc,34,sd,16,117431145.490638,5735830.269289676,4.8844199256720655
hc,34,sd,32,117431145.490638,48132669.67600614,40.9879929850837
hc,34,bid,East Brooklyn?BID,117431145.490638,275564.3382181905,0.23466035102259936
hc,34,ibz,East New York,117431145.490638,307788.44267198595,0.26210120099401046
hc,34,ibz,Ridgewood,117431145.490638,247798.00980118293,0.2110155774823283
hc,34,ibz,North Brooklyn,117431145.490638,493960.8163725302,0.4206386766549173
hc,34,cd,305,117431145.490638,39872349.29031895,33.95381108114772
hc,34,cd,316,117431145.490638,10384610.536598932,8.843148462199773
hc,34,cd,303,117431145.490638,10511598.395862494,8.951286604540968
hc,34,cd,304,117431145.490638,56662587.2678577,48.2517538521116
hc,34,dsny,BKN05,117431145.490638,39873883.001190156,33.9551171323361
hc,34,dsny,BKN16,117431145.490638,10394833.142871782,8.851853653850709
hc,34,dsny,BKN03,117431145.490638,10529806.795118915,8.966792200761072
hc,34,dsny,BKN04,117431145.490638,56622500.76621633,48.21761767684576
hc,34,cc_upcoming,36,117431145.490638,4777171.263016064,4.068061537726305
hc,34,cc_upcoming,41,117431145.490638,10527733.298150938,8.965026487790025
hc,34,cc_upcoming,37,117431145.490638,86444073.88165821,73.61256123363782
hc,34,cc_upcoming,34,117431145.490638,15682167.047812901,13.35435074084595
hc,34,cc,36,117431145.490638,4777171.263016064,4.068061537726305
hc,34,cc,41,117431145.490638,10987405.086644618,9.356465902413062
hc,34,cc,37,117431145.490638,80208946.04897265,68.30295805584828
hc,34,cc,34,117431145.490638,21457623.04687283,18.272514465579746
hc,34,nycongress,8,117431145.490638,22527967.50326255,19.183980032842783
hc,34,nycongress,7,117431145.490638,94903177.98737547,80.81601996715723
hc,34,sa,54,117431145.490638,64815033.86174145,55.194074443316
hc,34,sa,55,117431145.490638,16787409.297259238,14.295533971945787
hc,34,sa,56,117431145.490638,5506031.653722154,4.688731963498656
hc,34,sa,53,117431145.490638,30322670.67791528,25.821659621239668
hc,34,ss,25,117431145.490638,22720992.475372758,19.348352926680896
hc,34,ss,19,117431145.490638,8527392.143941063,7.26161028942777
hc,34,ss,18,117431145.490638,86070902.22756848,73.2947821193061
hc,34,ss,12,117431145.490638,111858.64375577468,0.09525466458529303
hc,34,nta,Bedford,117431145.490638,2591084.483326496,2.2064712666309347
hc,34,nta,park-cemetery-etc-Brooklyn,117431145.490638,13690415.59194301,11.658249210414501
hc,34,nta,East New York,117431145.490638,6730833.4090939,5.731727627259247
hc,34,nta,Cypress Hills-City Line,117431145.490638,24475255.68734813,20.842218293186434
hc,34,nta,Ocean Hill,117431145.490638,10955105.68935967,9.328960935864368
hc,34,nta,Bushwick North,117431145.490638,21487818.738088954,18.298227994209622
hc,34,nta,Stuyvesant Heights,117431145.490638,7024774.141110804,5.982036632411835
hc,34,nta,Bushwick South,117431145.490638,30475857.750367135,25.952108040023138
hc,34,zipcode,11206,117431145.490638,9788149.667141682,8.335224549029052
hc,34,zipcode,11208,117431145.490638,26921001.40933942,22.924924471153737
hc,34,zipcode,11207,117431145.490638,27989113.55435894,23.834489085002005
hc,34,zipcode,11233,117431145.490638,14437740.205119064,12.294643081949744
hc,34,zipcode,11237,117431145.490638,18014133.42588744,15.34016665734014
hc,34,zipcode,11221,117431145.490638,19946990.14238606,16.98611561613039
hc,51,pp,123,1622985729.1367838,460864369.25999945,28.396082663346583
hc,51,pp,122,1622985729.1367838,454216506.09289676,27.98647566263448
hc,51,pp,121,1622985729.1367838,475577246.0467091,29.302614157898603
hc,51,pp,120,1622985729.1367838,232327607.7371858,14.31482751612078
hc,51,fb,23,1622985729.1367838,759136914.615384,46.77409671489506
hc,51,fb,21,1622985729.1367838,286854371.1221463,17.674485115449247
hc,51,fb,22,1622985729.1367838,566969852.3350725,34.93375463237292
hc,51,sd,31,1622985729.1367838,1603520866.3611429,98.80067566669278
hc,51,bid,South Shore BID,1622985729.1367838,4342881.524968998,0.2675859341830962
hc,51,bid,New Dorp BID,1622985729.1367838,1465436.4675028091,0.09029262803698401
hc,51,bid,West Shore BID,1622985729.1367838,10927992.848417848,0.6733264903216439
hc,51,bid,Forest Avenue?BID,1622985729.1367838,1367460.4540664398,0.08425585200886208
hc,51,ibz,Rossville,1622985729.1367838,20997225.18897968,1.2937405925403582
hc,51,ibz,Staten Island West Shore,1622985729.1367838,86268265.31805752,5.315405044500357
hc,51,ibz,Staten Island North Shore,1622985729.1367838,6803792.071126732,0.4192145346062568
hc,51,cd,503,1622985729.1367838,600328927.5548438,36.98916859078855
hc,51,cd,595,1622985729.1367838,53896933.538540564,3.320850736451434
hc,51,cd,502,1622985729.1367838,591528198.0002153,36.44691308005715
hc,51,cd,501,1622985729.1367838,377231670.0431929,23.243067592703408
hc,51,dsny,SI03,1622985729.1367838,598860909.1594902,36.89871687768973
hc,51,dsny,SI02,1622985729.1367838,593026985.9405826,36.53926065363467
hc,51,dsny,SI01,1622985729.1367838,375859269.35356075,23.158507348888936
hc,51,cc_upcoming,51,1622985729.1367838,657994499.560056,40.54222336939605
hc,51,cc_upcoming,50,1622985729.1367838,634693799.2547846,39.1065545346698
hc,51,cc_upcoming,49,1622985729.1367838,330297430.3219517,20.351222095934677
hc,51,cc,51,1622985729.1367838,655635239.7016555,40.396857959457705
hc,51,cc,50,1622985729.1367838,637972787.6523105,39.30858886797659
hc,51,cc,49,1622985729.1367838,329343894.84611744,20.292470163695484
hc,51,nycongress,11,1622985729.1367838,1622985729.1367962,100.00000000000075
hc,51,sa,62,1622985729.1367838,567875852.9614772,34.989577712646486
hc,51,sa,64,1622985729.1367838,346741440.226316,21.364417074125296
hc,51,sa,63,1622985729.1367838,526488078.1029874,32.439476740378375
hc,51,sa,61,1622985729.1367838,181880357.8460128,11.206528472850428
hc,51,ss,24,1622985729.1367838,1286853875.6328413,79.28929087486674
hc,51,ss,23,1622985729.1367838,336131853.50395006,20.71070912513373
hc,51,nta,Charleston-Richmond Valley-Tottenville,1622985729.1367838,145534477.81972584,8.967083025254396
hc,51,nta,Annadale-Huguenot-Prince's Bay-Eltingville,1622985729.1367838,141192355.08023873,8.699543843514546
hc,51,nta,Rossville-Woodrow,1622985729.1367838,64963319.10241148,4.002704271279296
hc,51,nta,park-cemetery-etc-Staten Island,1622985729.1367838,23386513.769548822,1.4409562172790877
hc,51,nta,Great Kills,1622985729.1367838,89611042.66714063,5.521369723614391
hc,51,nta,Arden Heights,1622985729.1367838,50414755.06821701,3.106296880073682
