Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
hd,Stuyvesant Heights Historic District,pp,81,1532133.4677995462,1034513.7627464592,67.52112557349396
hd,Stuyvesant Heights Historic District,fb,37,1532133.4677995462,1034513.7627464592,67.52112557349396
hd,Stuyvesant Heights Historic District,sd,16,1532133.4677995462,908710.0789404551,59.31011220879776
hd,Stuyvesant Heights Historic District,cd,303,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,dsny,BKN03,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,hc,32,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,cc_upcoming,36,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,cc,36,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,nycongress,8,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,sa,56,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,ss,25,1532133.4677995462,1532133.467799546,99.99999999999999
hd,Stuyvesant Heights Historic District,nta,Crown Heights North,1532133.4677995462,876825.1511679371,57.2290319085083
hd,Stuyvesant Heights Historic District,zipcode,11233,1532133.4677995462,1034495.1734138603,67.51991227628523
hd,Boerum Hill Historic District,pp,84,829250.9672407993,828127.1432275323,99.86447721405663
hd,Boerum Hill Historic District,fb,32,829250.9672407993,205226.65852416516,24.748437642107817
hd,Boerum Hill Historic District,fb,31,829250.9672407993,624024.3087166274,75.25156235789137
hd,Boerum Hill Historic District,sd,15,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,cd,302,829250.9672407993,828127.1138385737,99.86447367001993
hd,Boerum Hill Historic District,dsny,BKN02,829250.9672407993,826457.4687523564,99.66312990894205
hd,Boerum Hill Historic District,hc,38,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,cc_upcoming,39,829250.9672407993,177730.97333876562,21.432712213787
hd,Boerum Hill Historic District,cc_upcoming,33,829250.9672407993,651519.9939020337,78.56728778621299
hd,Boerum Hill Historic District,cc,33,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,nycongress,10,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,sa,52,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,ss,26,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,nta,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,829250.9672407993,829250.9672407993,100.0
hd,Boerum Hill Historic District,zipcode,11217,829250.9672407993,802365.7941739463,96.75789668882639
hd,Sunset Park South Historic District,pp,72,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,fb,40,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,sd,20,735900.6890438654,678685.6280045896,92.22516544812403
hd,Sunset Park South Historic District,cd,307,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,dsny,BKS07,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,hc,31,735900.6890438654,410105.102081969,55.72832152322166
hd,Sunset Park South Historic District,hc,39,735900.6890438654,325795.58696189517,44.27167847677816
hd,Sunset Park South Historic District,cc_upcoming,38,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,cc,38,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,nycongress,10,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,sa,51,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,ss,26,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,nta,Sunset Park West,735900.6890438654,735900.6890438652,99.99999999999997
hd,Sunset Park South Historic District,zipcode,11220,735900.6890438654,735900.6890438652,99.99999999999997
hd,Fort Totten Historic District,pp,109,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,fb,53,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,sd,25,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,cd,407,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,dsny,QE07,4067431.951837653,4046165.8460191814,99.47716136200229
hd,Fort Totten Historic District,hc,43,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,cc_upcoming,19,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,cc,19,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,nycongress,3,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,sa,26,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,ss,11,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,nta,Ft. Totten-Bay Terrace-Clearview,4067431.951837653,4043984.1741176494,99.42352378607319
hd,Fort Totten Historic District,zipcode,11359,4067431.951837653,4042293.882021147,99.38196704667305
hd,African Burial Ground & The Commons Historic District,pp,1,1069255.467883827,625741.4594164153,58.521230726537766
hd,African Burial Ground & The Commons Historic District,pp,5,1069255.467883827,443514.00846741244,41.478769273462305
hd,African Burial Ground & The Commons Historic District,fb,1,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,sd,2,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,cd,101,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,dsny,MN01,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,hc,15,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,cc_upcoming,1,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,cc,1,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,nycongress,10,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,sa,66,1069255.467883827,965114.8394018643,90.26045396914655
hd,African Burial Ground & The Commons Historic District,ss,27,1069255.467883827,1069255.4678838267,99.99999999999997
hd,African Burial Ground & The Commons Historic District,nta,SoHo-TriBeCa-Civic Center-Little Italy,1069255.467883827,972782.7527247207,90.97758037655527
hd,African Burial Ground & The Commons Historic District,zipcode,10007,1069255.467883827,1002075.5122594169,93.71712769845672
hd,Brooklyn Academy of Music Historic District,pp,88,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,fb,57,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,sd,15,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,bid,MetroTech?BID,376797.44118350005,136438.23441650145,36.209968408478694
hd,Brooklyn Academy of Music Historic District,cd,302,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,dsny,BKN02,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,hc,36,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,cc_upcoming,35,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,cc,35,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,nycongress,10,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,sa,57,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,ss,26,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,nta,Fort Greene,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Academy of Music Historic District,zipcode,11217,376797.44118350005,376797.44118350005,100.0
hd,Brooklyn Heights Historic District,pp,84,5998777.041340798,5997553.387352029,99.97960160912238
hd,Brooklyn Heights Historic District,fb,32,5998777.041340798,5998777.0413408,100.00000000000003
hd,Brooklyn Heights Historic District,sd,15,5998777.041340798,979511.2229429203,16.3285152322312
hd,Brooklyn Heights Historic District,sd,13,5998777.041340798,5019265.81839788,83.67148476776883
hd,Brooklyn Heights Historic District,bid,Atlantic Avenue BID,5998777.041340798,299558.43543060654,4.993658430146483
hd,Brooklyn Heights Historic District,bid,Montague Street?BID,5998777.041340798,285962.73737604613,4.767017267108331
hd,Brooklyn Heights Historic District,cd,302,5998777.041340798,5997553.387352029,99.97960160912238
hd,Brooklyn Heights Historic District,dsny,BKN02,5998777.041340798,5992998.997726755,99.903679640463
hd,Brooklyn Heights Historic District,hc,38,5998777.041340798,5998777.0413408,100.00000000000003
hd,Brooklyn Heights Historic District,cc_upcoming,33,5998777.041340798,5997553.387352029,99.97960160912238
hd,Brooklyn Heights Historic District,cc,33,5998777.041340798,5997553.387352029,99.97960160912238
hd,Brooklyn Heights Historic District,nycongress,10,5998777.041340798,5998777.0413408,100.00000000000003
hd,Brooklyn Heights Historic District,sa,52,5998777.041340798,5998777.0413408,100.00000000000003
hd,Brooklyn Heights Historic District,ss,26,5998777.041340798,5998777.0413408,100.00000000000003
hd,Brooklyn Heights Historic District,nta,Brooklyn Heights-Cobble Hill,5998777.041340798,5997553.387352029,99.97960160912238
hd,Brooklyn Heights Historic District,zipcode,11201,5998777.041340798,5998777.0413408,100.00000000000003
hd,Expanded Carnegie Hill Historic District,pp,19,2182766.885721634,2031861.8925721906,93.08652728165457
hd,Expanded Carnegie Hill Historic District,fb,10,2182766.885721634,2182766.885721633,99.99999999999996
hd,Expanded Carnegie Hill Historic District,sd,2,2182766.885721634,2163073.376706438,99.09777314545043
hd,Expanded Carnegie Hill Historic District,cd,108,2182766.885721634,2031861.8925721906,93.08652728165457
