Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
ibz,North Brooklyn,pp,90,40950515.20696983,16068739.549218874,39.239407533715124
ibz,North Brooklyn,pp,94,40950515.20696983,23137398.251195986,56.50087217280717
ibz,North Brooklyn,pp,83,40950515.20696983,493960.8225443829,1.2062383587796965
ibz,North Brooklyn,fb,35,40950515.20696983,15394723.277879313,37.59347886118686
ibz,North Brooklyn,fb,28,40950515.20696983,24303123.92168648,59.347541291861596
ibz,North Brooklyn,sd,14,40950515.20696983,37293392.860990375,91.06941065943658
ibz,North Brooklyn,sd,32,40950515.20696983,2404454.3385754027,5.871609493611845
ibz,North Brooklyn,cd,301,40950515.20696983,39203886.38319331,95.73478180934035
ibz,North Brooklyn,cd,304,40950515.20696983,493960.81637253024,1.206238343708207
ibz,North Brooklyn,dsny,BKN01,40950515.20696983,39215306.66382782,95.76266981166901
ibz,North Brooklyn,dsny,BKN04,40950515.20696983,502802.83674703684,1.2278303073985726
ibz,North Brooklyn,hc,30,40950515.20696983,39203886.38319331,95.73478180934035
ibz,North Brooklyn,hc,34,40950515.20696983,493960.81637253024,1.206238343708207
ibz,North Brooklyn,cc_upcoming,33,40950515.20696983,12863456.713175988,31.41219749779024
ibz,North Brooklyn,cc_upcoming,34,40950515.20696983,26839418.060695607,65.54109984952645
ibz,North Brooklyn,cc,33,40950515.20696983,14088415.002996933,34.40351099807181
ibz,North Brooklyn,cc,34,40950515.20696983,25614685.416007,62.55033736827651
ibz,North Brooklyn,nycongress,7,40950515.20696983,39702874.7738715,96.95329734731645
ibz,North Brooklyn,sa,50,40950515.20696983,17222775.40368759,42.05753045264801
ibz,North Brooklyn,sa,53,40950515.20696983,22475071.79587818,54.88348970040039
ibz,North Brooklyn,ss,59,40950515.20696983,9555708.196961973,23.334769168754143
ibz,North Brooklyn,ss,18,40950515.20696983,30147166.5729258,73.61852816883416
ibz,North Brooklyn,nta,Greenpoint,40950515.20696983,12853730.269574033,31.388445797591118
ibz,North Brooklyn,nta,Bushwick North,40950515.20696983,2148201.6481066635,5.245847670656502
ibz,North Brooklyn,nta,Bushwick South,40950515.20696983,3517359.196011423,8.589291681030582
ibz,North Brooklyn,nta,East Williamsburg,40950515.20696983,21178556.085873686,51.717435003770284
ibz,North Brooklyn,zipcode,11206,40950515.20696983,3750801.408095448,9.159350960881333
ibz,North Brooklyn,zipcode,11211,40950515.20696983,11004928.529732523,26.873724235487696
ibz,North Brooklyn,zipcode,11222,40950515.20696983,17523137.76892287,42.79100685390256
ibz,North Brooklyn,zipcode,11237,40950515.20696983,8590220.387532795,20.977075243416543
ibz,Zerega,pp,43,11900187.455545066,7081199.584205195,59.5049415033005
ibz,Zerega,pp,45,11900187.455545066,4154932.3936345563,34.91484826735653
ibz,Zerega,fb,3,11900187.455545066,8817387.582651123,74.09452679287445
ibz,Zerega,fb,20,11900187.455545066,2418844.2206901084,20.326101834328774
ibz,Zerega,sd,8,11900187.455545066,9499675.528416077,79.82794862604928
ibz,Zerega,sd,11,11900187.455545066,1736556.2749251525,14.592680001153921
ibz,Zerega,cd,209,11900187.455545066,7081199.584205195,59.5049415033005
ibz,Zerega,cd,210,11900187.455545066,4154932.3923127404,34.914848256249016
ibz,Zerega,dsny,BX09,11900187.455545066,7080980.695379969,59.50310213038268
ibz,Zerega,dsny,BX10,11900187.455545066,4149875.406780322,34.872353248911445
ibz,Zerega,hc,26,11900187.455545066,11236231.803341232,94.42062862720323
ibz,Zerega,cc_upcoming,18,11900187.455545066,8817656.032307059,74.09678263680077
ibz,Zerega,cc_upcoming,13,11900187.455545066,2418575.771034173,20.323845990402468
ibz,Zerega,cc,18,11900187.455545066,5268611.143358841,44.273345802665105
ibz,Zerega,cc,13,11900187.455545066,5967620.659982393,50.14728282453813
ibz,Zerega,nycongress,14,11900187.455545066,11236231.803341232,94.42062862720323
ibz,Zerega,sa,87,11900187.455545066,7554850.031626644,63.485134665726214
ibz,Zerega,sa,82,11900187.455545066,3681304.9206593884,30.934848164463414
ibz,Zerega,ss,34,11900187.455545066,11236231.803341232,94.42062862720323
ibz,Zerega,nta,Soundview-Castle Hill-Clason Point-Harding Park,11900187.455545066,6150876.891471045,51.68722689830364
ibz,Zerega,nta,Westchester-Unionport,11900187.455545066,5078453.5647011595,42.67540812842221
ibz,Zerega,zipcode,10473,11900187.455545066,4325974.989830046,36.352158367171725
ibz,Zerega,zipcode,10461,11900187.455545066,1735542.8447072024,14.58416391498523
ibz,Zerega,zipcode,10462,11900187.455545066,2818147.450564199,23.68153830426463
ibz,Zerega,zipcode,10465,11900187.455545066,2470599.62125996,20.761014315860614
ibz,Ridgewood,pp,83,1895600.8182657757,247798.0123735305,13.07226764125545
ibz,Ridgewood,pp,104,1895600.8182657757,1647802.8058922442,86.9277323587445
ibz,Ridgewood,fb,51,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,fb,28,1895600.8182657757,243409.34944031204,12.840749333659787
ibz,Ridgewood,sd,32,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,sd,24,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,cd,304,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,cd,405,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,dsny,BKN04,1895600.8182657757,249816.84258864413,13.178768450690665
ibz,Ridgewood,dsny,QW05,1895600.8182657757,1645783.97567713,86.82123154930925
ibz,Ridgewood,hc,34,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,hc,46,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,cc_upcoming,37,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,cc_upcoming,34,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,cc,37,1895600.8182657757,247798.00540962748,13.07226727388364
ibz,Ridgewood,cc,34,1895600.8182657757,1512624.4947224727,79.79657321029879
ibz,Ridgewood,nycongress,7,1895600.8182657757,1895600.8182657736,99.99999999999989
ibz,Ridgewood,sa,54,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,sa,38,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,ss,12,1895600.8182657757,1757560.7833428765,92.717874270112
ibz,Ridgewood,nta,Bushwick North,1895600.8182657757,247798.0098011829,13.072267505554535
ibz,Ridgewood,nta,Ridgewood,1895600.8182657757,1647802.8084645919,86.92773249444542
ibz,Ridgewood,zipcode,11237,1895600.8182657757,248566.78455744576,13.112823235898977
ibz,Ridgewood,zipcode,11385,1895600.8182657757,1646836.2112470304,86.8767408928251
ibz,Rossville,pp,123,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,fb,23,25158854.156415876,20990844.0429928,83.43322757264694
ibz,Rossville,sd,31,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,cd,503,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,dsny,SI03,25158854.156415876,21022738.48143142,83.55999979462624
ibz,Rossville,hc,51,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,cc_upcoming,51,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,cc,51,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,nycongress,11,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,sa,62,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,ss,24,25158854.156415876,20997225.188979685,83.45859099320342
ibz,Rossville,nta,Charleston-Richmond Valley-Tottenville,25158854.156415876,20990544.058028787,83.43203520926605
ibz,Rossville,zipcode,10309,25158854.156415876,21512677.28082809,85.50738100821671
ibz,Astoria,pp,114,63772687.244812354,23043425.518864043,36.1336906353096
ibz,Astoria,pp,115,63772687.244812354,29458201.995221626,46.19250539362826
ibz,Astoria,fb,49,63772687.244812354,52489637.57438663,82.30739497127972
ibz,Astoria,sd,30,63772687.244812354,52490198.46932554,82.30827449347511
ibz,Astoria,cd,401,63772687.244812354,20990565.96397371,32.914664366258464
ibz,Astoria,cd,480,63772687.244812354,31407048.5729939,49.2484320951188
ibz,Astoria,dsny,QW01,63772687.244812354,21053740.583169855,33.01372655404683
ibz,Astoria,hc,42,63772687.244812354,31523129.421567935,49.430454922741575
ibz,Astoria,hc,43,63772687.244812354,13945.116867702065,0.02186691116554202
ibz,Astoria,hc,41,63772687.244812354,20964552.97498687,32.87387419399086
ibz,Astoria,cc_upcoming,22,63772687.244812354,22987132.393526454,36.045419107529234
ibz,Astoria,cc_upcoming,21,63772687.244812354,29500550.00302835,46.2589100092032
ibz,Astoria,cc_upcoming,19,63772687.244812354,13945.116867702065,0.02186691116554202
ibz,Astoria,cc,22,63772687.244812354,22997195.42912997,36.06119864582106
ibz,Astoria,cc,21,63772687.244812354,29493190.43298172,46.24736969254948
ibz,Astoria,cc,19,63772687.244812354,13945.116867702069,0.021866911165542027
ibz,Astoria,nycongress,14,63772687.244812354,52501627.51342252,82.32619602789799
ibz,Astoria,sa,27,63772687.244812354,13945.116867702065,0.02186691116554202
ibz,Astoria,sa,35,63772687.244812354,29510588.704796,46.27465139035139
ibz,Astoria,sa,34,63772687.244812354,22976929.131595314,36.02941968462273
ibz,Astoria,ss,11,63772687.244812354,52493755.49061334,82.31385214974377
ibz,Astoria,nta,Airport,63772687.244812354,29953309.908474986,46.96886896656776
ibz,Astoria,nta,Steinway,63772687.244812354,22430359.511624932,35.17236058364398
ibz,Astoria,nta,College Point,63772687.244812354,13945.116867702083,0.02186691116554205
ibz,Astoria,zipcode,11105,63772687.244812354,21716548.94251195,34.05305606637817
ibz,Astoria,zipcode,11370,63772687.244812354,1344690.7720251589,2.1085684642127793
ibz,Astoria,zipcode,11371,63772687.244812354,29303209.851436354,45.94946695431915
ibz,Jamaica,pp,102,15662663.091874734,5134210.811880819,32.77993519853131
ibz,Jamaica,pp,103,15662663.091874734,10493739.721443878,66.9984386428364
ibz,Jamaica,fb,54,15662663.091874734,638972.3749969823,4.079589602667632
ibz,Jamaica,fb,50,15662663.091874734,15019688.973128762,95.89486082300063
ibz,Jamaica,sd,27,15662663.091874734,740443.2674601328,4.727441707178456
ibz,Jamaica,sd,29,15662663.091874734,8390952.461928854,53.57296146069693
ibz,Jamaica,sd,28,15662663.091874734,6531267.362485754,41.699596832124655
