Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
nycongress,3,pp,105,376022933.7744368,123247883.29466636,32.77669318132562
nycongress,3,pp,111,376022933.7744368,123232247.46609345,32.77253496990591
nycongress,3,pp,109,376022933.7744368,129443009.24132703,34.424232570605774
nycongress,3,fb,54,376022933.7744368,5196973.579726529,1.38208952511498
nycongress,3,fb,53,376022933.7744368,278881461.85633373,74.16607786577856
nycongress,3,fb,52,376022933.7744368,91938094.69457307,24.45012961622271
nycongress,3,sd,29,376022933.7744368,27384750.764724012,7.282734191194621
nycongress,3,sd,26,376022933.7744368,217336314.7123616,57.79868598193912
nycongress,3,sd,25,376022933.7744368,131296536.29698902,34.91716182815309
nycongress,3,bid,Bayside Village,376022933.7744368,884750.6898618157,0.23529168313774904
nycongress,3,cd,413,376022933.7744368,122517040.88136591,32.5823320539432
nycongress,3,cd,408,376022933.7744368,174872.82792080706,0.046505894245723656
nycongress,3,cd,411,376022933.7744368,123888010.25096151,32.94692932885781
nycongress,3,cd,407,376022933.7744368,129443009.81418917,34.42423272295343
nycongress,3,dsny,QE13,376022933.7744368,122526767.19471188,32.58491868163857
nycongress,3,dsny,QE08,376022933.7744368,175957.6863998754,0.04679440283964871
nycongress,3,dsny,QE11,376022933.7744368,123814938.7193395,32.92749659615491
nycongress,3,dsny,QE07,376022933.7744368,129361771.65451872,34.4026281471753
nycongress,3,hc,44,376022933.7744368,21839756.81255957,5.8080917015717155
nycongress,3,hc,43,376022933.7744368,354183176.9618777,94.19190829842842
nycongress,3,cc_upcoming,23,376022933.7744368,151333064.60895437,40.24570073157662
nycongress,3,cc_upcoming,20,376022933.7744368,163721.35676787602,0.043540258335968106
nycongress,3,cc_upcoming,19,376022933.7744368,224526147.8087154,59.71075901008764
nycongress,3,cc,23,376022933.7744368,151619474.76668304,40.32186900005263
nycongress,3,cc,20,376022933.7744368,163721.35676787602,0.043540258335968106
nycongress,3,cc,19,376022933.7744368,224237890.10226744,59.634099402240196
nycongress,3,sa,24,376022933.7744368,9405836.825236883,2.501399776557012
nycongress,3,sa,33,376022933.7744368,56107358.94328011,14.92125982319392
nycongress,3,sa,27,376022933.7744368,46861880.41255139,12.46250592807252
nycongress,3,sa,40,376022933.7744368,29443109.295771673,7.830136582422812
nycongress,3,sa,26,376022933.7744368,234204748.29759791,62.28469788975406
nycongress,3,ss,16,376022933.7744368,61780882.25428491,16.430083568079688
nycongress,3,ss,11,376022933.7744368,314242051.5201527,83.56991643192053
nycongress,3,nta,park-cemetery-etc-Queens,376022933.7744368,11658403.385805167,3.1004500892487163
nycongress,3,nta,Queens Village,376022933.7744368,21774015.35783044,5.790608338504141
nycongress,3,nta,Bellerose,376022933.7744368,55193203.464746684,14.678148194507514
nycongress,3,nta,Glen Oaks-Floral Park-New Hyde Park,376022933.7744368,45658953.43198046,12.142598052109687
nycongress,3,nta,Auburndale,376022933.7744368,3798840.2301337286,1.0102682280577393
nycongress,3,nta,Bayside-Bayside Hills,376022933.7744368,39508814.88190621,10.50702266623083
nycongress,3,nta,Douglas Manor-Douglaston-Little Neck,376022933.7744368,67889382.49577783,18.0545856111272
nycongress,3,nta,Flushing,376022933.7744368,810879.210716865,0.2156462114098827
nycongress,3,nta,Murray Hill,376022933.7744368,30546667.959271137,8.123618326321298
nycongress,3,nta,Ft. Totten-Bay Terrace-Clearview,376022933.7744368,46323025.44061364,12.319202176216526
nycongress,3,nta,Whitestone,376022933.7744368,52621525.07448813,13.994232890607138
nycongress,3,zipcode,11428,376022933.7744368,13167974.98847019,3.5019074119476987
nycongress,3,zipcode,11427,376022933.7744368,18526468.093640644,4.926951637676981
nycongress,3,zipcode,11001,376022933.7744368,7333170.992805999,1.950192484058676
nycongress,3,zipcode,11426,376022933.7744368,48104172.94616833,12.792882727473312
nycongress,3,zipcode,11004,376022933.7744368,22606486.801902145,6.011996814923794
nycongress,3,zipcode,11364,376022933.7744368,446445.43074261077,0.11872824517943313
nycongress,3,zipcode,11040,376022933.7744368,5090708.406645274,1.3538292347080656
nycongress,3,zipcode,11005,376022933.7744368,8398450.129523898,2.233494123675403
nycongress,3,zipcode,11362,376022933.7744368,52694744.49171639,14.013704952189473
nycongress,3,zipcode,11358,376022933.7744368,23235013.54688818,6.1791479880389595
nycongress,3,zipcode,11354,376022933.7744368,11139561.566406233,2.9624686597143763
nycongress,3,zipcode,11361,376022933.7744368,26689844.84927123,7.097930060106799
nycongress,3,zipcode,11363,376022933.7744368,23369598.317356665,6.214939626893949
nycongress,3,zipcode,11360,376022933.7744368,38829527.58036337,10.326372168474137
nycongress,3,zipcode,11359,376022933.7744368,6560633.290710669,1.7447428604570614
nycongress,3,zipcode,11357,376022933.7744368,67840811.87613167,18.041668680992483
nycongress,3,hd,Douglaston Hill Historic District,376022933.7744368,413182.71344252,0.1098823173616251
nycongress,3,hd,Douglaston Hill Historic District Amendment,376022933.7744368,37979.79857918897,0.010100394196161383
nycongress,3,hd,Douglaston Historic District,376022933.7744368,9120321.501978911,2.4254694814571813
nycongress,3,hd,Fort Totten Historic District,376022933.7744368,4043984.1741176504,1.0754621090594165
nycongress,9,pp,62,422694747.6911163,17897713.345219806,4.234193455911721
nycongress,9,pp,70,422694747.6911163,80308506.20583498,18.99917295980227
nycongress,9,pp,71,422694747.6911163,45111687.78117092,10.6724032005565
nycongress,9,pp,77,422694747.6911163,34652248.903193675,8.197936949175382
nycongress,9,pp,66,422694747.6911163,66910621.57585502,15.829537022009529
nycongress,9,pp,69,422694747.6911163,4496375.006869789,1.0637404489718216
nycongress,9,pp,63,422694747.6911163,44462274.16570935,10.518766653377039
nycongress,9,pp,61,422694747.6911163,31083502.45372537,7.353652398926804
nycongress,9,pp,67,422694747.6911163,93669727.2699067,22.160135128614314
nycongress,9,pp,73,422694747.6911163,3894389.3931389363,0.9213242923909614
nycongress,9,fb,42,422694747.6911163,19471997.381080225,4.606633389092727
nycongress,9,fb,43,422694747.6911163,3889462.426596019,0.9201586837407877
nycongress,9,fb,41,422694747.6911163,108746284.25113295,25.72690690980603
nycongress,9,fb,38,422694747.6911163,83315539.73572436,19.710568960418478
nycongress,9,fb,57,422694747.6911163,6480834.530388857,1.5332186088871678
nycongress,9,fb,48,422694747.6911163,22687381.163986895,5.367320338828926
