Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
pp,63,fb,41,229512752.96628147,5262036.013829009,2.292698748030822
pp,63,fb,39,229512752.96628147,6670456.611373787,2.906355540231687
pp,63,fb,58,229512752.96628147,132336907.46780345,57.65993643379178
pp,63,fb,33,229512752.96628147,85229680.7842026,37.135052271680955
pp,63,sd,18,229512752.96628147,17745803.354241654,7.731946536691472
pp,63,sd,22,229512752.96628147,211766679.60648292,92.26793582036564
pp,63,ibz,Flatlands/Fairfield,229512752.96628147,3200683.5331357457,1.3945558544217231
pp,63,cd,318,229512752.96628147,149594848.18873766,65.17931847156012
pp,63,cd,356,229512752.96628147,79917103.22439274,34.820332287214406
pp,63,dsny,BKS18,229512752.96628147,149691987.37037963,65.2216425604774
pp,63,hc,35,229512752.96628147,229512481.29593772,99.99988163170009
pp,63,cc_upcoming,45,229512752.96628147,36107354.19407195,15.732177723203296
pp,63,cc_upcoming,42,229512752.96628147,13886584.795798926,6.05046326024378
pp,63,cc_upcoming,46,229512752.96628147,179518543.96722946,78.21724137203093
pp,63,cc,45,229512752.96628147,32003874.07709643,13.94426830904609
pp,63,cc,42,229512752.96628147,13841387.561602546,6.0307705705730585
pp,63,cc,46,229512752.96628147,183574963.29743198,79.98464613615681
pp,63,nycongress,9,229512752.96628147,44462274.1657094,19.372463443127934
pp,63,nycongress,8,229512752.96628147,185050208.79139084,80.62741891235004
pp,63,sa,42,229512752.96628147,1900585.5837735112,0.8280958505398317
pp,63,sa,58,229512752.96628147,2151660.7577870786,0.9374907189158184
pp,63,sa,59,229512752.96628147,193139414.3938204,84.1519313840461
pp,63,sa,41,229512752.96628147,32320822.221719302,14.082364401976246
pp,63,ss,22,229512752.96628147,46426637.17986001,20.228347479532307
pp,63,ss,19,229512752.96628147,79920213.64601153,34.821687515444026
pp,63,ss,21,229512752.96628147,103165632.13122873,44.94984736050164
pp,63,nta,Midwood,229512752.96628147,492705.32288125186,0.2146744860638036
pp,63,nta,Madison,229512752.96628147,419580.137950856,0.1828134308564971
pp,63,nta,Georgetown-Marine Park-Bergen Beach-Mill Basin,229512752.96628147,68937218.80128352,30.036334761498562
pp,63,nta,Flatlands,229512752.96628147,52005257.840746745,22.65898394255548
pp,63,nta,park-cemetery-etc-Brooklyn,229512752.96628147,106909858.28168091,46.58122779669129
pp,63,nta,East Flatbush-Farragut,229512752.96628147,747860.8628822335,0.32584719289742664
pp,63,zipcode,11210,229512752.96628147,13946708.236686775,6.076659382293991
pp,63,zipcode,11234,229512752.96628147,196167031.93119198,85.47108140871438
pp,63,zipcode,11229,229512752.96628147,4823206.749428284,2.1014983642921483
pp,1,fb,1,47286367.69724784,35532081.61962169,75.14233668171921
pp,1,fb,2,47286367.69724784,10702659.305632455,22.633709939736757
pp,1,sd,2,47286367.69724784,46151699.77428861,97.60043332102822
pp,1,bid,Downtown Alliance BID,47286367.69724784,12125906.10415324,25.643555837888965
pp,1,bid,SoHo Broadway BID,47286367.69724784,586520.3796407335,1.2403582854913808
pp,1,bid,Hudson Square,47286367.69724784,3180362.440457669,6.725749080200069
pp,1,cd,101,47286367.69724784,38016237.425335914,80.39576579181517
pp,1,cd,102,47286367.69724784,8283598.752189545,17.51794260287763
pp,1,dsny,MN01,47286367.69724784,36885303.69592019,78.0040960897637
pp,1,dsny,MN02,47286367.69724784,8271078.653041996,17.491465417681866
pp,1,hc,15,47286367.69724784,47286367.69504556,99.99999999534268
pp,1,cc_upcoming,1,47286367.69724784,43522276.956536934,92.03979725232738
pp,1,cc_upcoming,3,47286367.69724784,2777559.220988525,5.873911142365423
pp,1,cc,1,47286367.69724784,41364816.72730998,87.47725558484267
pp,1,cc,3,47286367.69724784,4934326.620055535,10.434987630362487
pp,1,nycongress,10,47286367.69724784,46299836.17752544,97.91370839469275
pp,1,sa,61,47286367.69724784,21668107.13966915,45.82315833265044
pp,1,sa,65,47286367.69724784,5478017.507375904,11.584771201816661
pp,1,sa,66,47286367.69724784,19153711.530480403,40.50577886022569
pp,1,ss,26,47286367.69724784,8575573.896885062,18.13540416508705
pp,1,ss,27,47286367.69724784,37724262.28064038,79.7783042296057
pp,1,nta,Battery Park City-Lower Manhattan,47286367.69724784,17693171.83703125,37.41706690247859
pp,1,nta,SoHo-TriBeCa-Civic Center-Little Italy,47286367.69724784,18590853.371298976,39.31546083287129
pp,1,nta,West Village,47286367.69724784,358816.69543410355,0.7588163627441982
pp,1,nta,park-cemetery-etc-Manhattan,47286367.69724784,10643525.791281244,22.508655897248623
pp,1,zipcode,10004,47286367.69724784,13433566.701284401,28.40896299604391
pp,1,zipcode,10041,47286367.69724784,162236.55156050046,0.3430937064128589
pp,1,zipcode,10043,47286367.69724784,38262.40809225796,0.08091636121690292
pp,1,zipcode,10265,47286367.69724784,17229.140482953575,0.036435745272852385
pp,1,zipcode,10005,47286367.69724784,2082854.6992175414,4.4047678023253365
pp,1,zipcode,10260,47286367.69724784,52506.24541911943,0.11103886379112894
pp,1,zipcode,10270,47286367.69724784,31252.02323755142,0.06609097877350886
pp,1,zipcode,10286,47286367.69724784,11264.372119250913,0.02382160581961241
pp,1,zipcode,10081,47286367.69724784,30240.51105134481,0.06395185869415988
pp,1,zipcode,10271,47286367.69724784,49237.15701241548,0.10412547930866169
pp,1,zipcode,10275,47286367.69724784,48265.29927094595,0.10207021943399364
pp,1,zipcode,10203,47286367.69724784,37227.10186636081,0.078726922111481
pp,1,zipcode,10006,47286367.69724784,1716653.6071593324,3.630335106621533
pp,1,zipcode,10280,47286367.69724784,2223614.6635072045,4.702443371721747
pp,1,zipcode,10080,47286367.69724784,77107.34060493083,0.16306463016701245
pp,1,zipcode,10045,47286367.69724784,47798.19327325665,0.1010823956267603
pp,1,zipcode,10259,47286367.69724784,21064.261477201704,0.044546160982518616
pp,1,zipcode,10038,47286367.69724784,4120941.107498944,8.71486076892895
pp,1,zipcode,10279,47286367.69724784,28664.704786787028,0.060619383942352105
pp,1,zipcode,10007,47286367.69724784,3814624.382970062,8.067070000794502
pp,1,zipcode,10048,47286367.69724784,972789.0943341344,2.057229475865943
pp,1,zipcode,10281,47286367.69724784,953667.1736979734,2.0167909275752613
pp,1,zipcode,10285,47286367.69724784,67350.33648270044,0.14243076760285894
pp,1,zipcode,10282,47286367.69724784,1549929.344049095,3.2777509026968548
pp,1,zipcode,10013,47286367.69724784,10817543.987268258,22.87666512371569
pp,1,zipcode,10012,47286367.69724784,2690947.9469458987,5.69074783703997
pp,1,zipcode,10014,47286367.69724784,1749229.7221587948,3.6992262407598786
pp,1,hd,Governors Island Historic District,47286367.69724784,4078434.452808409,8.624968783647516
pp,1,hd,Ellis Island Historic District,47286367.69724784,1201726.414394938,2.5413802601397117
pp,1,hd,Fraunces Tavern Block Historic District,47286367.69724784,34333.46476826428,0.07260753244589467
pp,1,hd,Stone Street Historic District,47286367.69724784,58750.68888714536,0.12424445299604767
pp,1,hd,South Street Seaport Historic District,47286367.69724784,1035679.574126191,2.1902286526999823
pp,1,hd,South Street Seaport Historic District Extension,47286367.69724784,76654.81081543087,0.16210763175174553
pp,1,hd,African Burial Ground & The Commons Historic District,47286367.69724784,625741.4594164154,1.3233020210449253
pp,1,hd,Tribeca South Historic District Extension,47286367.69724784,90440.65639245616,0.19126158509679733
pp,1,hd,Tribeca South Historic District,47286367.69724784,429883.2083815418,0.9091060052103808
pp,1,hd,Tribeca West Historic District,47286367.69724784,1383364.4954731287,2.925503824548662
pp,1,hd,Tribeca East Historic District,47286367.69724784,813387.74977953,1.7201315926553409
pp,1,hd,Tribeca North Historic District,47286367.69724784,703013.4545539098,1.486714858402682
pp,1,hd,SoHo-Cast Iron Historic District Extension,47286367.69724784,198829.18260828312,0.42047886587798833
pp,1,hd,SoHo-Cast Iron Historic District,47286367.69724784,2582020.3387637725,5.460390519515525
pp,1,hd,Sullivan-Thompson Historic District,47286367.69724784,760370.0941214715,1.6080112115816554
pp,1,hd,Charlton-King-Vandam Historic District,47286367.69724784,296232.0364649603,0.6264639279582509
pp,5,fb,1,18094481.91630918,3985588.3802827075,22.02654045977608
pp,5,fb,4,18094481.91630918,9503985.687994068,52.52422109653108
pp,5,fb,2,18094481.91630918,4604907.8474997105,25.44923844074888
pp,5,sd,1,18094481.91630918,1698117.6272347143,9.384726432560317
pp,5,sd,2,18094481.91630918,16396364.28854177,90.61527356449571
pp,5,bid,Chinatown,18094481.91630918,6024963.139517844,33.29724038181682
pp,5,bid,SoHo Broadway BID,18094481.91630918,585844.5587406209,3.2376973347470037
pp,5,bid,Lower East Side BID,18094481.91630918,126058.48448804242,0.6966681061723107
pp,5,cd,101,18094481.91630918,3670333.95048679,20.28427211932822
pp,5,cd,103,18094481.91630918,9630442.154323371,53.22308866794976
pp,5,cd,102,18094481.91630918,4793705.810966326,26.49263920977806
pp,5,dsny,MN01,18094481.91630918,3670262.1171634104,20.28387512910926
pp,5,dsny,MN03,18094481.91630918,9631835.62849559,53.230789768089934
pp,5,dsny,MN02,18094481.91630918,4785303.977869937,26.446206086490808
pp,5,hc,14,18094481.91630918,8381532.841660056,46.32093298070884
pp,5,hc,15,18094481.91630918,9712949.074116433,53.67906701634722
pp,5,cc_upcoming,1,18094481.91630918,18094481.915776487,99.99999999705605
pp,5,cc,1,18094481.91630918,18094481.915776487,99.99999999705605
pp,5,nycongress,10,18094481.91630918,18094481.915776495,99.99999999705608
pp,5,sa,65,18094481.91630918,15987251.929602917,88.35429499196135
pp,5,sa,66,18094481.91630918,2107229.986173571,11.645705005094685
pp,5,ss,27,18094481.91630918,18094481.915776495,99.99999999705608
pp,5,nta,SoHo-TriBeCa-Civic Center-Little Italy,18094481.91630918,6441756.168817963,35.60066653807748
pp,5,nta,Chinatown,18094481.91630918,11388502.512430767,62.93909140424693
pp,5,zipcode,10038,18094481.91630918,2896504.6049158424,16.007668074238275
pp,5,zipcode,10007,18094481.91630918,1513414.664083621,8.363956874164648
pp,5,zipcode,10278,18094481.91630918,206706.5575064192,1.1423734509917491
pp,5,zipcode,10013,18094481.91630918,4757118.524906153,26.29043786337092
pp,5,zipcode,10002,18094481.91630918,6412351.554802969,35.438160564427626
pp,5,zipcode,10012,18094481.91630918,2498765.576958381,13.809544746932806
pp,5,hd,African Burial Ground & The Commons Historic District,18094481.91630918,443514.00846741226,2.4511008964984944
pp,5,hd,Tribeca East Historic District,18094481.91630918,250953.2156204282,1.3869046750337484
pp,5,hd,SoHo-Cast Iron Historic District Extension,18094481.91630918,737312.2762424172,4.074790754731984
pp,5,hd,SoHo-Cast Iron Historic District,18094481.91630918,637769.8432491546,3.524664846437579
pp,6,fb,2,22017956.409988116,13922003.579439785,63.23022591290206
pp,6,fb,6,22017956.409988116,8095271.062396672,36.766677668252505
pp,6,sd,2,22017956.409988116,22017956.409988105,99.99999999999994
pp,6,bid,NoHo BID,22017956.409988116,541514.8669548244,2.459423830583906
pp,6,bid,Hudson Square,22017956.409988116,449136.6471481904,2.0398652753461093
pp,6,bid,Village Alliance BID,22017956.409988116,1708571.7947639585,7.759901795376843
pp,6,bid,14th Street BID,22017956.409988116,487831.18621092895,2.215606104068912
pp,6,bid,Meatpacking BID,22017956.409988116,1641539.9925058882,7.455460270423772
pp,6,cd,102,22017956.409988116,22017274.641836457,99.99690358115456
pp,6,dsny,MN02,22017956.409988116,22009890.975469958,99.96336883238402
