Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
sa,32,pp,113,125856761.87344946,83307338.78264615,66.19218351288325
sa,32,pp,102,125856761.87344946,1171701.1458887865,0.9309798920990409
sa,32,pp,103,125856761.87344946,39506328.32330899,31.38991321184085
sa,32,pp,107,125856761.87344946,1673448.1088887863,1.3296449741583682
sa,32,fb,54,125856761.87344946,39253712.75032614,31.18919648496617
sa,32,fb,50,125856761.87344946,86603049.12312311,68.81080351503367
sa,32,sd,27,125856761.87344946,39522813.896538965,31.403011890834794
sa,32,sd,29,125856761.87344946,6250104.414078727,4.966045781762036
sa,32,sd,28,125856761.87344946,80083843.56283168,63.630942327403105
sa,32,bid,Greater JFK,125856761.87344946,1279125.2197596875,1.0163341251746678
sa,32,bid,Sutphin Boulevard BID,125856761.87344946,2122330.8139164816,1.6863065458894544
sa,32,bid,Jamaica Center BID,125856761.87344946,2057877.329098152,1.6350947684220363
sa,32,ibz,JFK,125856761.87344946,317758.23187490756,0.25247609039426694
sa,32,ibz,Jamaica,125856761.87344946,1802273.054322752,1.43200335643067
sa,32,cd,412,125856761.87344946,122813667.10595514,97.5820967247241
sa,32,cd,409,125856761.87344946,1171701.1458887865,0.9309798920990409
sa,32,cd,408,125856761.87344946,1673448.1088887863,1.3296449741583682
sa,32,dsny,QW09,125856761.87344946,1172051.180787841,0.9312580137460974
sa,32,dsny,QE12,125856761.87344946,122816679.38576345,97.58449014384873
sa,32,dsny,QE08,125856761.87344946,1663235.2977275131,1.3215303436774553
sa,32,hc,45,125856761.87344946,17777102.917602126,14.124869139313487
sa,32,hc,44,125856761.87344946,108079658.95584725,85.87513086068644
sa,32,cc_upcoming,28,125856761.87344946,91646497.25330605,72.81809565818779
sa,32,cc_upcoming,27,125856761.87344946,28938286.73558876,22.993032956534005
sa,32,cc_upcoming,29,125856761.87344946,1231377.9141369574,0.9783963100648682
sa,32,cc_upcoming,24,125856761.87344946,4040599.970417577,3.210475075213241
sa,32,cc,28,125856761.87344946,81588222.43793574,64.82625265694799
sa,32,cc,31,125856761.87344946,5499887.104465044,4.3699575792322145
sa,32,cc,27,125856761.87344946,29557228.97272987,23.484816018427384
sa,32,cc,24,125856761.87344946,9206951.933802266,7.315420956928774
sa,32,nycongress,5,125856761.87344946,125655377.93454997,99.83998957552875
sa,32,nycongress,6,125856761.87344946,201383.93889944887,0.1600104244712278
sa,32,ss,10,125856761.87344946,84318719.31121504,66.99578000902213
sa,32,ss,14,125856761.87344946,39575567.4607384,31.44492744897737
sa,32,ss,15,125856761.87344946,941010.9577827511,0.7476840685993091
sa,32,ss,11,125856761.87344946,1021464.1437130702,0.811608473401028
sa,32,nta,Springfield Gardens North,125856761.87344946,22384446.94939614,17.78565300440828
sa,32,nta,Baisley Park,125856761.87344946,40345925.102203734,32.05701823376965
sa,32,nta,St. Albans,125856761.87344946,10534686.620261762,8.370377930789703
sa,32,nta,Richmond Hill,125856761.87344946,1171701.1458887865,0.9309798920990409
sa,32,nta,South Jamaica,125856761.87344946,28056242.979627807,22.292201517021955
sa,32,nta,Jamaica,125856761.87344946,21312783.68505808,16.934158616354956
sa,32,nta,Briarwood-Jamaica Hills,125856761.87344946,1853029.8782963736,1.4723323965379136
sa,32,zipcode,11436,125856761.87344946,19669608.46182377,15.628567086130666
sa,32,zipcode,11434,125856761.87344946,52804638.83048991,41.9561396975918
sa,32,zipcode,11419,125856761.87344946,1109343.5217750664,0.8814333892449299
sa,32,zipcode,11451,125856761.87344946,487609.64590058604,0.3874322194868509
sa,32,zipcode,11435,125856761.87344946,24155511.54629241,19.192859554563366
sa,32,zipcode,11433,125856761.87344946,22915201.630649727,18.207366286518038
sa,32,zipcode,11432,125856761.87344946,4675266.120589168,3.714751635903525
sa,35,pp,112,106176381.2503495,10924508.628906606,10.289019554309444
sa,35,pp,110,106176381.2503495,24777497.552498545,23.336166914632894
sa,35,pp,114,106176381.2503495,1296452.712346757,1.221036822953965
sa,35,pp,115,106176381.2503495,69177922.35659751,65.15377670810362
sa,35,fb,52,106176381.2503495,8209935.92608115,7.732356131749523
sa,35,fb,46,106176381.2503495,29893478.783848878,28.154546643819128
sa,35,fb,49,106176381.2503495,68064125.11869358,64.10477011663036
sa,35,sd,28,106176381.2503495,11815463.3140315,11.128146556598347
sa,35,sd,25,106176381.2503495,8931941.433477025,8.412361890933841
sa,35,sd,24,106176381.2503495,25520800.478832923,24.036231201606256
sa,35,sd,30,106176381.2503495,59899002.04753991,56.41462003334451
sa,35,ibz,Astoria,106176381.2503495,29510588.704796024,27.793929645439754
sa,35,cd,406,106176381.2503495,10681608.723684482,10.060249367982035
sa,35,cd,481,106176381.2503495,12572905.65978221,11.841527759490129
sa,35,cd,404,106176381.2503495,11555311.953055657,10.883128448133677
sa,35,cd,403,106176381.2503495,39336531.087573856,37.048287598749155
sa,35,cd,401,106176381.2503495,1344728.416339956,1.266504283254172
sa,35,cd,480,106176381.2503495,30682587.394078597,28.89775205441709
sa,35,dsny,QW06,106176381.2503495,10698153.502342204,10.075831721103217
sa,35,dsny,QW04,106176381.2503495,11544812.87058393,10.873240107291684
sa,35,dsny,QW01,106176381.2503495,1337490.4223742955,1.2596873302930476
sa,35,dsny,QW03,106176381.2503495,39365319.34869728,37.075401219296786
sa,35,hc,46,106176381.2503495,11110134.594426975,10.46384748057177
sa,35,hc,42,106176381.2503495,80456578.03393596,75.77634223964581
sa,35,hc,43,106176381.2503495,14609668.6219866,13.759810279782453
sa,35,cc_upcoming,29,106176381.2503495,1854279.1427197044,1.7464139584372966
sa,35,cc_upcoming,24,106176381.2503495,9288699.24769786,8.748366763222384
sa,35,cc_upcoming,25,106176381.2503495,1957570.962530737,1.8436971946849932
sa,35,cc_upcoming,22,106176381.2503495,6807769.144029175,6.4117547272376685
sa,35,cc_upcoming,21,106176381.2503495,86268062.75337198,81.2497673564176
sa,35,cc,29,106176381.2503495,10924508.628906606,10.289019554309444
sa,35,cc,25,106176381.2503495,1319842.8242321538,1.2430663097474979
sa,35,cc,22,106176381.2503495,6812874.916265038,6.416563491838362
sa,35,cc,21,106176381.2503495,87044327.98273638,81.98087649785093
sa,35,nycongress,6,106176381.2503495,21367296.449719567,20.12434045886192
sa,35,nycongress,14,106176381.2503495,84809084.80062993,79.87565954113806
sa,35,ss,14,106176381.2503495,355178.31141934375,0.33451725066979016
sa,35,ss,15,106176381.2503495,6814548.802207651,6.418140006241001
sa,35,ss,16,106176381.2503495,2776528.6272736215,2.61501531185824
sa,35,ss,11,106176381.2503495,34813565.94512452,32.78842764761294
sa,35,ss,13,106176381.2503495,61320200.31926004,57.75314584763943
sa,35,ss,12,106176381.2503495,96359.24506430658,0.09075393597857187
sa,35,nta,park-cemetery-etc-Queens,106176381.2503495,14609668.6219866,13.759810279782453
sa,35,nta,Airport,106176381.2503495,30924139.85800211,29.125253181389922
sa,35,nta,Forest Hills,106176381.2503495,7116210.9217041675,6.7022541528563755
sa,35,nta,Rego Park,106176381.2503495,3395369.0509402077,3.197857198517991
sa,35,nta,Elmhurst,106176381.2503495,1319842.8242321538,1.2430663097474979
sa,35,nta,Corona,106176381.2503495,10604229.380505458,9.987371254914144
sa,35,nta,North Corona,106176381.2503495,9551200.334540337,8.99559791176147
sa,35,nta,Steinway,106176381.2503495,1412710.866696845,1.3305321297077024
sa,35,nta,Jackson Heights,106176381.2503495,8024173.228783633,7.557399427527786
sa,35,nta,East Elmhurst,106176381.2503495,19218836.162957974,18.10085815379464
sa,35,zipcode,11375,106176381.2503495,6138157.681965804,5.78109520185366
sa,35,zipcode,11374,106176381.2503495,4993886.55284063,4.703387414443635
sa,35,zipcode,11373,106176381.2503495,1479164.4944659842,1.3931200866399045
sa,35,zipcode,11368,106176381.2503495,34527019.48420252,32.51854986731229
sa,35,zipcode,11370,106176381.2503495,3342727.0949338577,3.1482774752439155
sa,35,zipcode,11369,106176381.2503495,25002151.624914233,23.547752645630812
sa,35,zipcode,11371,106176381.2503495,30508019.45040924,28.733338894339855
