Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
sd,17,pp,70,128438731.08116788,10969674.51298954,8.540783936939683
sd,17,pp,71,128438731.08116788,41751945.32806622,32.50728575143019
sd,17,pp,78,128438731.08116788,25443651.04398804,19.809952052476074
sd,17,pp,77,128438731.08116788,29928252.730176214,23.30157926526292
sd,17,pp,72,128438731.08116788,67338.8339973321,0.05242875994685496
sd,17,pp,67,128438731.08116788,18036684.881113257,14.0430263747427
sd,17,pp,73,128438731.08116788,2241183.7508372557,1.7449438592015687
sd,17,fb,41,128438731.08116788,23400439.09824951,18.21914534756764
sd,17,fb,38,128438731.08116788,71350189.13363266,55.55192622429627
sd,17,fb,57,128438731.08116788,6563861.438615192,5.1105000675124295
sd,17,fb,48,128438731.08116788,21818333.760964416,16.98734764607426
sd,17,fb,58,128438731.08116788,4103052.87264549,3.194560424341574
sd,17,fb,44,128438731.08116788,1202854.7770606522,0.9365202902078645
sd,17,bid,Church Avenue?BID,128438731.08116788,540317.0376107334,0.4206807658892828
sd,17,bid,Flatbush Avenue?BID,128438731.08116788,1343288.7781808127,1.0458595836889035
sd,17,cd,314,128438731.08116788,10988013.057303097,8.555061985437348
sd,17,cd,309,128438731.08116788,41752244.43645366,32.50751863164079
sd,17,cd,308,128438731.08116788,29928252.66889414,23.301579217549836
sd,17,cd,355,128438731.08116788,25492352.286566466,19.84786993142775
sd,17,cd,317,128438731.08116788,18036684.881113257,14.0430263747427
sd,17,cd,316,128438731.08116788,2241183.7508372557,1.7449438592015687
sd,17,dsny,BKS14,128438731.08116788,11001093.097644212,8.56524586083927
sd,17,dsny,BKN09,128438731.08116788,41779207.605889805,32.528511652366845
sd,17,dsny,BKN08,128438731.08116788,29883293.425825667,23.26657478960975
sd,17,dsny,BKN17,128438731.08116788,18056394.837725922,14.058372179272807
sd,17,dsny,BKN16,128438731.08116788,2240735.239814476,1.7445946568861892
sd,17,hc,36,128438731.08116788,7594473.013002275,5.912915013309254
sd,17,hc,39,128438731.08116788,27374078.37458621,21.312946760029064
sd,17,hc,35,128438731.08116788,37259157.549809396,29.009285000069934
sd,17,hc,33,128438731.08116788,3451150.611127442,2.687001484736298
sd,17,hc,32,128438731.08116788,52759871.53264255,41.07785174185545
sd,17,cc_upcoming,45,128438731.08116788,3972252.1480288994,3.0927214202377966
sd,17,cc_upcoming,40,128438731.08116788,41948485.76390696,32.6603084683212
sd,17,cc_upcoming,35,128438731.08116788,36030056.44546442,28.052329809062766
sd,17,cc_upcoming,36,128438731.08116788,10803720.578004822,8.411575299025124
sd,17,cc_upcoming,39,128438731.08116788,21815994.476468813,16.985526322805246
sd,17,cc_upcoming,41,128438731.08116788,13868221.669293964,10.797538680547873
sd,17,cc,45,128438731.08116788,5412367.917035278,4.213968692679539
sd,17,cc,40,128438731.08116788,37762815.48548177,29.40142367306421
sd,17,cc,35,128438731.08116788,36029883.43785483,28.052195108565385
sd,17,cc,36,128438731.08116788,11732122.493184067,9.134411710880155
sd,17,cc,39,128438731.08116788,21818699.065024517,16.987632065000717
sd,17,cc,41,128438731.08116788,15682842.682587393,12.210368749809975
sd,17,nycongress,9,128438731.08116788,98889369.62556005,76.99341841291326
sd,17,nycongress,10,128438731.08116788,28547836.105857,22.226812633189258
sd,17,nycongress,8,128438731.08116788,1001525.3497508657,0.7797689538975153
sd,17,sa,42,128438731.08116788,18785723.6152283,14.626213959834681
sd,17,sa,43,128438731.08116788,52317263.57204381,40.73324544056847
sd,17,sa,44,128438731.08116788,27620128.6574142,21.504516920179974
sd,17,sa,57,128438731.08116788,13560189.780423813,10.557710798197114
sd,17,sa,58,128438731.08116788,3829807.3502738103,2.9818165580081395
sd,17,sa,55,128438731.08116788,9353332.113691496,7.2823298976541455
sd,17,sa,56,128438731.08116788,2972285.9920924744,2.3141664255575014
sd,17,ss,20,128438731.08116788,102978124.12815504,80.17684639306908
sd,17,ss,25,128438731.08116788,4822894.531579931,3.755015711368298
sd,17,ss,19,128438731.08116788,2686598.1137120444,2.091735172947347
sd,17,ss,21,128438731.08116788,17951114.30772089,13.976402722615298
sd,17,nta,Flatbush,128438731.08116788,5472064.529192122,4.260447361266756
sd,17,nta,Erasmus,128438731.08116788,10721342.563174298,8.34743731343691
sd,17,nta,Prospect Lefferts Gardens-Wingate,128438731.08116788,26688854.057522625,20.77944388959775
sd,17,nta,Crown Heights South,128438731.08116788,15979027.477339603,12.440972705687608
sd,17,nta,Crown Heights North,128438731.08116788,33150875.47525231,25.810653216670566
sd,17,nta,Prospect Heights,128438731.08116788,852096.6066005612,0.6634265220683876
sd,17,nta,park-cemetery-etc-Brooklyn,128438731.08116788,27497043.58803486,21.408685181308655
sd,17,nta,East Flatbush-Farragut,128438731.08116788,3423421.3958633794,2.6654120350191883
sd,17,nta,Rugby-Remsen Village,128438731.08116788,1490954.6942933663,1.160829511271912
sd,17,nta,Brownsville,128438731.08116788,1960195.9168340757,1.5261719734643862
sd,17,nta,Ocean Hill,128438731.08116788,1202854.7770606522,0.9365202902078645
