Primary Geography ID,Primary Geography NameCol,Other Geography ID,Other Geography NameCol,Primary Area (sq ft),Intersection Area (sq ft),Percentage Overlap
zipcode,11436,pp,113,22699431.528926834,22553885.296841364,99.35881111427837
zipcode,11436,fb,54,22699431.528926834,8799083.226665936,38.7634519192822
zipcode,11436,fb,50,22699431.528926834,13900348.302260919,61.2365480807179
zipcode,11436,sd,27,22699431.528926834,21776133.424769923,95.9325056093131
zipcode,11436,sd,28,22699431.528926834,923298.1041569281,4.067494390686968
zipcode,11436,cd,412,22699431.528926834,22553885.296841364,99.35881111427837
zipcode,11436,dsny,QE12,22699431.528926834,22552527.98292117,99.3528316080583
zipcode,11436,hc,45,22699431.528926834,11639284.32667918,51.27566437884911
zipcode,11436,hc,44,22699431.528926834,11060147.202247677,48.72433562115099
zipcode,11436,cc_upcoming,28,22699431.528926834,22699431.528926857,100.00000000000009
zipcode,11436,cc,28,22699431.528926834,22699431.528926857,100.00000000000009
zipcode,11436,nycongress,5,22699431.528926834,22699431.528926857,100.00000000000009
zipcode,11436,sa,31,22699431.528926834,3029823.067103082,13.347572441371721
zipcode,11436,sa,32,22699431.528926834,19669608.461823795,86.65242755862846
zipcode,11436,ss,10,22699431.528926834,22699431.528926857,100.00000000000009
zipcode,11436,nta,Baisley Park,22699431.528926834,22550922.604557738,99.34575927956678
zipcode,11213,pp,71,29631136.50092183,9504921.458995452,32.077478562794084
zipcode,11213,pp,77,29631136.50092183,17895031.304323796,60.39265926829056
zipcode,11213,pp,79,29631136.50092183,541420.2664223821,1.8272004734126157
zipcode,11213,pp,81,29631136.50092183,1689531.5698123048,5.701879068188097
zipcode,11213,fb,38,29631136.50092183,29624931.117561705,99.9790578962102
zipcode,11213,sd,17,29631136.50092183,22194390.49246261,74.90225861492736
zipcode,11213,sd,13,29631136.50092183,541420.2664223821,1.8272004734126157
zipcode,11213,sd,16,29631136.50092183,6895325.74203683,23.270540911659985
zipcode,11213,bid,Bed-Stuy Gateway?BID,29631136.50092183,257012.35809159427,0.8673725966724178
zipcode,11213,cd,309,29631136.50092183,9504921.458995452,32.077478562794084
zipcode,11213,cd,308,29631136.50092183,17895031.304323796,60.39265926829056
zipcode,11213,cd,303,29631136.50092183,2230951.8362346864,7.529079541600711
zipcode,11213,dsny,BKN09,29631136.50092183,9518786.209657246,32.12426971662432
