cc_upcoming,pp,fb,sd,bid,ibz,cd,dsny,hc,cc,nycongress,sa,ss,nta,zipcode,hd
1,84;1;7;5,1;32;4;2,13;1;2,Downtown Alliance BID;Chinatown;SoHo Broadway BID;Lower East Side BID;Hudson Square,,101;302;103;102,MN01;BKN02;MN03;MN02,14;15,1;2;3,10,61;65;66,26;27,Battery Park City-Lower Manhattan;Lower East Side;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;park-cemetery-etc-Manhattan,10004;10041;10043;10265;11201;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10048;10281;10285;10282;10013;10002;10012,Governors Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Sullivan-Thompson Historic District
2,7;17;9;13;6;14,8;4;2;6;7,1;2,NoHo BID;Village Alliance BID;14th Street BID;Flatiron/23rd Street Partnership,,106;105;103;102,MN06;MN05;MN03;MN02,14;15,1;2;4;3,10;12,74;73;65;66;75,59;28;27,Lower East Side;Murray Hill-Kips Bay;Chinatown;East Village;Gramercy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,10009;10010;10016;10002;10012;10003;10011;10047,East 10th Street Historic District;Noho East Historic District;East Village / Lower East Side Historic District;NoHo Historic District Extension;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Greenwich Village Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District
3,1;13;6;10;14;18,2;6;7;9,2,Hudson Square;Village Alliance BID;Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID,,105;102;104,MN05;MN02;MN04,15,2;4;3,10;12,74;66;75;67,28;27;47,SoHo-TriBeCa-Civic Center-Little Italy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,10010;10016;10013;10003;10014;10011;10001;10120;10121;10119;10123;10122;10018;10036;10097;10019,Charlton-King-Vandam Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Ladies' Mile Historic District;Madison Square North Historic District
4,17;13;14;18;19,8;4;6;7;9;10,2,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;Flatiron/23rd Street Partnership;34th Street BID;Garment District;Times Square BID;47th Street BID;5th Avenue BID;Madison Avenue BID,,106;105;108,MN06;MN05;MN08,14;13;15;12,2;5;4,12,74;73;75,59;28,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Turtle Bay-East Midtown;Midtown-Midtown South;Upper East Side-Carnegie Hill,10009;10010;10016;10158;10178;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10155;10065;10001;10118;10018;10036;10019;10154;10152;10020;10111;10055;10112;10103;10104;10151;10153;10021;10075;10028;10128,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District
5,17;19;114,8;10;45,2,East Mid-Manhattan BID,,106;108,MN06;MN08,13;12,5;4,12,76;73;68,28;29,Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill;Yorkville,10044;10022;10065;10021;10075;10162;10028;10128,Treadwell Farm Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District
6,18;20;22;24,9;10;11;12,2;3,Lincoln Square BID;Columbus Avenue BID,,105;104;107;164,MN05;MN04;MN07,15;16,4;3;6,12,75;67;69;68,28;47;30,Midtown-Midtown South;Clinton;Lincoln Square;park-cemetery-etc-Manhattan;Upper West Side,10019;10023;10069;10105;10106;10107;00083;10024;10025,West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II
7,24;26;30;33,11;16;13,3;5;6,Columbus Amsterdam BID,,107;109;112,MN07;MN09;MN12,16;17,6;7;9,12;13,67;69;70;71,47;30;31,Upper West Side;Morningside Heights;Manhattanville;Hamilton Heights;Washington Heights South,10026;10024;10025;10115;10027;10031;10032,Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District
8,19;23;25;40;44,10;12;14;26;17,2;5;4;7;8,,Port Morris,108;111;201;204,MN08;MN11;BX01;BX04,11;12;23,5;4;9;8;17,12;13;15,68;84;77,28;30;29;32,Upper East Side-Carnegie Hill;park-cemetery-etc-Manhattan;Yorkville;East Harlem South;East Harlem North;Mott Haven-Port Morris;Melrose South-Mott Haven North;West Concourse,10128;10029;10035;10451;10454;10455,Expanded Carnegie Hill Historic District;Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District
9,23;26;28;32;30;25,11;16;12;13,3;5;4;6,125th Street BID,,109;110;111,MN09;MN10;MN11,16;11;12;17,7;9;8,13,69;70;68;71,30;29,East Harlem South;Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds;Hamilton Heights;East Harlem North,10029;10026;10027;10030;10031;10032;10035;10037;10039,Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District
10,33;52;34;50,13;19,6;10,Washington Heights BID,,112;207;208,MN12;BX07;BX08,17,7;10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10032;10033;10040;10034;10463,Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
