cd,pp,fb,sd,bid,ibz,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
404,110,46,28;24,82nd Street BID,,QW04,46;42,30;25;21,25;21,6;14,39;35;30;34,13;12,Elmhurst;Corona;North Corona;Elmhurst-Maspeth,11373;11368;11377,
304,83,57;44;37;28,14;19;23;32,,Ridgewood;North Brooklyn,BKN04,34,37;34,37;34,7,54;53,25;18;12,park-cemetery-etc-Brooklyn;Bushwick North;Bushwick South,11206;11207;11237;11221,
303,79;81,38;57;31;44;37,13;14;16,Bed-Stuy Gateway?BID,,BKN03,36;32;34,36;33;41,35;36;33;41,8;7,57;55;56,20;25,Crown Heights North;Bedford;Clinton Hill;Ocean Hill;Stuyvesant Heights;Bushwick South,11238;11216;11206;11205;11213;11233;11221,Bedford Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
308,78;77,38;57,17;13;16,,,BKN08,36;38;32,35;36;39;41,35;36;39;41,9;10;8;7,43;44;57;52;55;56,20;25,Crown Heights North;Prospect Heights;Park Slope-Gowanus,11217;11238;11216;11213;11233,Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District;Prospect Heights Historic District
112,33;34,13,6,Washington Heights BID,,MN12,17,7;10,7;10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10031;10032;10033;10040;10034,Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
101,1;5,1;2,2,Downtown Alliance BID;Chinatown,,MN01,15,1,1,10,61;65;66,26;27,Battery Park City-Lower Manhattan;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;park-cemetery-etc-Manhattan,10004;10041;10043;10265;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10048;10281;10285;10282;10013,Governors Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District
414,100;101,47,27,,,QE14,45,32;31,32;31,5,23;31,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;park-cemetery-etc-Queens,11693;11692;11694;11691;11096;11697,
411,105;111,54;53,26;25,Bayside Village,,QE11,43,23;20;19,23;20;19,6;3,24;25;26,16;11,park-cemetery-etc-Queens;Oakland Gardens;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Murray Hill;Ft. Totten-Bay Terrace-Clearview,11427;11364;11365;11362;11358;11361;11363;11360,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District
314,70,41;38;33,20;21;17;22,Flatbush-Nostrand Junction?BID;Church Avenue?BID;Flatbush Avenue?BID,,BKS14,39;35,48;44;45;40;39,44;48;45;40,9;10,45;48;42;43;44;41,22;20;21,Midwood;Kensington-Ocean Parkway;Madison;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Borough Park;Flatlands;park-cemetery-etc-Brooklyn,11218;11210;11230;11226;11229,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District
481,102;112;110,50;52;46,28;25;24,,,,43,24;20;21,24;29;20;21,6;14,25;27;35,14;16;11;13,park-cemetery-etc-Queens,11375;11367;11355;11368,
