fb,pp,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
53,105;107;111;109,29;26;25,Bayside Village,,413;408;411;407,QE13;QE08;QE11;QE07,44;43,27;23;20;19,27;23;20;19,5;6;3,24;33;25;26,14;16;11,park-cemetery-etc-Queens;Queens Village;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Murray Hill;Ft. Totten-Bay Terrace-Clearview;Whitestone,11411;11429;11428;11427;11001;11426;11004;11364;11040;11365;11005;11362;11358;11361;11363;11360;11359;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
11,20;24;26;28;32,3;5,Columbus Avenue BID;Columbus Amsterdam BID;125th Street BID,,107;109;110,MN07;MN09;MN10,15;16;11;17,6;9;7,6;7;9,12;13,67;69;70,47;30,Lincoln Square;Upper West Side;Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds,10023;10026;10024;10025;10115;10027,West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District
57,78;77;79;88;90;81;83,17;15;13;14;16;32,North Flatbush?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;MetroTech?BID,,308;355;306;302;301;303;304,BKN08;BKS06;BKN02;BKN01;BKN03;BKN04,36;38;30;32;34,35;36;39;33;34,35;36;39;33;34,9;10;8;7,43;44;57;52;50;56;53,20;25;26;18,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;Fort Greene;Clinton Hill;Williamsburg;Stuyvesant Heights;Bushwick South,11217;11238;11216;11206;11205;11221,Park Slope Historic District;Park Slope Historic District Extension II;Brooklyn Academy of Music Historic District;Crown Heights North Historic District;Prospect Heights Historic District;Bedford Historic District;Clinton Hill Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
37,81;83,13;23;16;32,,,303;304,BKN03;BKN04,36;32;34,36;41;37;34,36;41;37;34,8;7,54;55;56;53,25;18,Crown Heights North;Bushwick North;Stuyvesant Heights;Bushwick South,11207;11233;11237;11221,Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
44,75;73;81;83;104,17;19;23;16;32;24,East Brooklyn?BID;Pitkin Avenue?BID,East New York,305;316;303;304;405,BKN05;BKN16;BKN03;BKN04;QW05,33;32;34;46,32;42;41;37,42;41;37;30,9;8;7,60;54;55;38,25;19;18,park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);park-cemetery-etc-Queens;Cypress Hills-City Line;Brownsville;Ocean Hill;Bushwick South,11208;11207;11212;11233,
22,122;121;120,31,West Shore BID;Forest Avenue?BID,Staten Island West Shore;Staten Island North Shore,502;501,SI02;SI01,51,51;50;49,51;50;49,11,62;64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis;Westerleigh;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10314;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District
6,9;13;6,1;2,NoHo BID;Village Alliance BID;14th Street BID;Flatiron/23rd Street Partnership,,106;105;103;102,MN06;MN05;MN03;MN02,14;15,4;2;3,1;2;4;3,10;12,74;66;75,59;28;27,Stuyvesant Town-Cooper Village;East Village;Gramercy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square,10009;10010;10012;10003;10011;10047,Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Greenwich Village Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District
8,17;13;14;18,2,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;Flatiron/23rd Street Partnership;34th Street BID;Garment District,,106;105,MN06;MN05,14;13;15,5;4;2,2;5;4,12,74;73;75,59;28,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,10010;10016;10158;10178;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10171;10022;10155;10001;10018;10036;10154;10152;10055,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District
4,7;5;9;13,1;2,Chinatown;Lower East Side BID,,106;103;102,MN06;MN03;MN02,14;15,1;4;2,1;2;4,10;12,74;65;66,59;27,Lower East Side;Stuyvesant Town-Cooper Village;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;East Village,10038;10009;10013;10002;10012;10003,East 10th Street Historic District;East Village / Lower East Side Historic District
38,70;71;78;77;79;67;81,17;13;18;16,Bed-Stuy Gateway?BID,,314;309;308;355;317;303,BKS14;BKN09;BKN08;BKN17;BKN03,36;39;35;32,40;35;36;41,40;35;36;41,9;10;8,43;44;57;52;58;55;56,20;25;21,Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,11226;11225;11238;11216;11203;11213;11233,Melrose Parkside Historic District;Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Prospect Heights Historic District;Alice and Agate Courts Historic District
