hc,pp,fb,sd,bid,ibz,cd,dsny,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
34,79;75;73;81;83,57;39;44;37;28,14;19;23;16;32,East Brooklyn?BID,East New York;Ridgewood;North Brooklyn,305;316;303;304,BKN05;BKN16;BKN03;BKN04,36;41;37;34,36;41;37;34,8;7,54;55;56;53,25;19;18;12,Bedford;park-cemetery-etc-Brooklyn;East New York;Cypress Hills-City Line;Ocean Hill;Bushwick North;Stuyvesant Heights;Bushwick South,11206;11208;11207;11233;11237;11221,
51,123;122;121;120,23;21;22,31,South Shore BID;New Dorp BID;West Shore BID;Forest Avenue?BID,Rossville;Staten Island West Shore;Staten Island North Shore,503;595;502;501,SI03;SI02;SI01,51;50;49,51;50;49,11,62;64;63;61,24;23,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;park-cemetery-etc-Staten Island;Great Kills;Arden Heights;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth;Westerleigh;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10307;10309;10312;10308;10306;10305;10314;10304;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District;St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
22,41;43;42;44;48,14;3;26;17;18,7;8;9;12,161st Street?BID;Southern Boulevard?BID,,202;209;203;204;206,BX02;BX09;BX03;BX04;BX06,17;16;15,8;17;16;15,14;15,85;87;84;77;79,29;32,Hunts Point;Longwood;Crotona Park East;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Claremont-Bathgate;East Tremont,10451;10472;10459;10456;10452;10460,Grand Concourse Historic District;Morris High School Historic District;Clay Avenue Historic District
24,45;49;47,20;15;27,8;11,,Eastchester,210;228;211;212,BX10;BX11;BX12,13;12;15;11,13;12;15;11,14;15;16,82;80;83;78;81,34;36;33,Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10464;10461;10465;10475;10469;10467;10466;10470,
33,69;106;75;67;73,39;51;58;44,17;19;18;23,East Brooklyn?BID;Pitkin Avenue?BID,Flatlands/Fairfield;East New York,305;318;356;317;316,BKS18;BKN17;BKN05;BKN16,45;42;46;41;37,45;42;46;41;37,9;8;7,58;59;60;54;55,25;19;15,Canarsie;Starrett City;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Brownsville,11239;11414;11208;11236;11207;11212,
45,100;106;101;75;113;102;105;103;107,47;51;54;50,27;29;28,Greater JFK;Sutphin Boulevard BID;Woodhaven BID;Jamaica Center BID,JFK;Jamaica,414;484;410;483;412;409;413;408,QE14;QE10;QW09;QE12;QE13;QE08,32;31;28;27;29;24,32;28;31;27;30;24;29,5;6;7,23;31;32;24;38;28;25;27,10;14;19;15;11,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;South Ozone Park;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;Lindenwood-Howard Beach;Ozone Park;Springfield Gardens South-Brookville;Baisley Park;Richmond Hill;Jamaica;park-cemetery-etc-Queens;Woodhaven;Airport;Kew Gardens;Briarwood-Jamaica Hills,11693;11692;11694;11420;11436;11691;11096;11414;11208;11417;11430;11434;11419;11418;11435;11433;11697;11416;11421;11415;11432;11367,
43,102;105;107;112;110;111;115;109,54;50;53;52;46;49,29;28;26;25;24,Downtown Flushing;Bayside Village,,413;408;406;481;403;411;407,QE13;QE08;QW06;QE11;QW03;QE07,29;24;23;20;21;19,24;29;23;20;21;19,5;6;3;14,24;33;25;27;35;40;26,14;16;11;13,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11435;11432;11375;11367;11423;11428;11366;11427;11001;11426;11004;11364;11040;11365;11355;11368;11005;11362;11358;11354;11361;11363;11360;11359;11356;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
44,113;105;103;107,54;50;53,27;29;28;26,Greater JFK;Sutphin Boulevard BID;180th Street BID;Jamaica Center BID;165th Street BID,JFK;Jamaica,483;412;413;408,QE12;QE13;QE08,31;28;27;24;23,28;31;27;24;23,5;6;3,31;29;32;24;33,10;14;11,Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;Baisley Park;St. Albans;Cambria Heights;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Queens Village;Jamaica Estates-Holliswood,11436;11430;11422;11413;11434;11451;11435;11411;11412;11433;11429;11432;11423;11428;11427,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
17,26;30;33;52;34;50,16;13;19,5;6;10,Washington Heights BID,,109;110;112;207;208,MN09;MN10;MN12;BX07;BX08,9;7;10,7;9;10,13,70;71;72,30;31,park-cemetery-etc-Manhattan;Manhattanville;Hamilton Heights;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10027;10030;10031;10032;10039;10033;10040;10034;10463,Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
23,114;40;41;44,49;14;3;26;17,7;8;9,161st Street?BID;Southern Boulevard?BID;HUB/3rd Avenue?BID,Hunts Point;Port Morris,401;201;202;204,QW01;BX01;BX02;BX04,22;8;17;16,22;8;17;16,14;15,85;84;77;79,11;29;32,Rikers Island;Mott Haven-Port Morris;Hunts Point;Longwood;Melrose South-Mott Haven North;East Concourse-Concourse Village;West Concourse;Highbridge,11370;10474;10451;10454;10455;10459;10456;10452,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District;Grand Concourse Historic District;Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension
14,7;17;5;9;13;14,8;4;2;6,1;2,Chinatown;Grand Central Partnership;Lower East Side BID;Village Alliance BID;14th Street BID;Flatiron/23rd Street Partnership,,106;105;103,MN06;MN05;MN03,1;4;2,1;2;4,10;12,74;73;65;66,59;28;27,Lower East Side;Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Chinatown;East Village;Gramercy,10038;10009;10010;10016;10178;10168;10017;10002;10003,East 10th Street Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;East Village / Lower East Side Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District
37,60;62;66;61,42;43;33,20;21;22,Brighton Beach?BID;Kings Highway?BID,,313;311;315;312,BKS13;BKS15;BKS11;BKS12,47;48;44;43;46,47;43;44;48;46,11;9;8,47;46;45;48;59;41,23;17;22,Seagate-Coney Island;Bensonhurst East;Bath Beach;Brighton Beach;Homecrest;Ocean Parkway South;West Brighton;Gravesend;Madison;Bensonhurst West;Borough Park;Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11224;11214;11223;11230;11204;11235;11229,
13,17;14;18;19;114,8;9;10;45,2,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;47th Street BID;5th Avenue BID;Madison Avenue BID,,106;105;108,MN06;MN05;MN08,5;4,2;5;4,12,74;76;73;75,59;28;29,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;Midtown-Midtown South;Upper East Side-Carnegie Hill;Yorkville,10016;10158;10044;10174;10017;10170;10166;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10155;10065;10036;10019;10154;10152;10020;10111;10055;10112;10103;10104;10151;10153;10021;10075;10162;10028;10128,Tudor City Historic District;Turtle Bay Gardens Historic District;Treadwell Farm Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
15,84;1;17;5;9;13;6;10;14;18;20;22,1;32;8;4;2;6;7;9;10;11;12,13;2;3,Downtown Alliance BID;Chinatown;Bryant Park BID;Grand Central Partnership;SoHo Broadway BID;NoHo BID;Hudson Square;Village Alliance BID;14th Street BID;Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID;Lincoln Square BID;Columbus Avenue BID,,101;302;106;105;103;102;104;107;164,MN01;BKN02;MN06;MN05;MN03;MN02;MN04;MN07,1;4;2;3;6,1;2;4;3;6,10;12,61;74;73;65;66;75;67;69;68,26;28;27;47;30,Battery Park City-Lower Manhattan;Murray Hill-Kips Bay;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;West Village;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton;Lincoln Square;park-cemetery-etc-Manhattan,10004;10041;10043;10265;11201;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10010;10016;10165;10017;10048;10281;10285;10282;10013;10012;10003;10014;10011;10001;10118;10120;10121;10119;10123;10122;10018;10036;10097;10019;10023;10069;10105;10106;10107;00083,Governors Island Historic District;Ellis Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Ladies' Mile Historic District;Madison Square North Historic District;West 71st Street Historic District;West End-Collegiate Historic District Extension;Central Park West - West 73rd - 74th Street Historic District;Upper West Side/Central Park West Historic District
38,78;72;76;84,57;48;32;31,15;13,North Flatbush?BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID,Southwest Brooklyn,308;307;306;302,BKN08;BKS07;BKS06;BKN02,35;38;39;33,35;39;38;33,10;7,44;51;52,20;25;26,Prospect Heights;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill,11215;11217;11238;11232;11231;11201,Park Slope Historic District;Park Slope Historic District Extension II;Prospect Heights Historic District;Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District
39,68;70;78;66;72,42;41;38;48;40,20;17;15,Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID,Southwest Brooklyn,310;314;355;312;307;306,BKS10;BKS14;BKS12;BKS07;BKS06,47;44;40;35;43;38;39,43;44;40;35;39;38,9;10,49;48;42;44;51;52,17;22;20;26,Windsor Terrace;Borough Park;Sunset Park East;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11219;11220;11218;11226;11215;11238;11232,Sunset Park South Historic District;Park Slope Historic District Extension;Park Slope Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District
32,71;77;79;73;81,41;38;57;44;37,17;13;23;16,Bed-Stuy Gateway?BID,,309;308;316;303,BKN09;BKN08;BKN16;BKN03,40;35;36;41,40;35;36;41,9;8,43;57;58;55;56,20;25,Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Bedford;Ocean Hill;Stuyvesant Heights,11226;11225;11216;11205;11203;11213;11233;11221,Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District;Bedford Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
