nycongress,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,sa,ss,nta,zipcode,hd
3,105;111;109,54;53;52,29;26;25,Bayside Village,,413;411;407,QE13;QE11;QE07,44;43,23;20;19,23;20;19,24;33;27;40;26,16;11,park-cemetery-etc-Queens;Queens Village;Bellerose;Glen Oaks-Floral Park-New Hyde Park;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;Whitestone,11428;11427;11001;11426;11004;11364;11040;11005;11362;11358;11354;11361;11363;11360;11359;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
9,62;70;71;77;66;69;63;61;67;73,42;43;41;38;57;48;40;58;33;44,20;21;17;15;13;18;22;23;16,Kings Highway?BID;Flatbush-Nostrand Junction?BID;Church Avenue?BID;Flatbush Avenue?BID,Flatlands/Fairfield,311;315;314;309;308;312;318;317;316,BKS15;BKS14;BKN09;BKN08;BKS11;BKS12;BKS18;BKN17;BKN16,31;37;36;39;35;33;32,48;44;45;40;35;36;43;39;42;46;41,47;44;48;45;40;35;36;39;38;42;46;41,47;49;45;48;42;43;44;57;58;59;41;55;56,17;22;20;25;19;21,Bensonhurst East;Homecrest;Ocean Parkway South;Midwood;Kensington-Ocean Parkway;Windsor Terrace;Madison;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;Bensonhurst West;Borough Park;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;Brownsville;Ocean Hill,11219;11223;11218;11210;11230;11226;11225;11238;11216;11204;11234;11236;11229;11203;11213;11212;11233,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;East 25th Street Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District;Melrose Parkside Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District
8,60;77;79;88;100;69;106;75;63;61;67;73;81,43;38;57;31;47;39;51;58;33;44;37,21;17;13;14;19;18;22;23;16,Brighton Beach?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;East Brooklyn?BID;Pitkin Avenue?BID,Flatlands/Fairfield;East New York,313;315;308;302;305;318;356;317;316;303,BKS13;BKS15;BKN08;BKN02;BKS18;BKN17;BKN05;BKN16;BKN03,37;36;35;33;32;34,47;48;44;45;35;36;43;33;42;46;41;37,47;43;48;35;36;33;42;46;41;37,47;46;45;57;58;59;41;60;54;55;56,23;17;22;20;25;19;21;15,Seagate-Coney Island;Bensonhurst East;Brighton Beach;Homecrest;West Brighton;Gravesend;Madison;Crown Heights North;Bedford;Clinton Hill;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Starrett City;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;Flatlands;park-cemetery-etc-Brooklyn;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville;Ocean Hill;Stuyvesant Heights;Bushwick South,11224;11214;11223;11238;11216;11206;11205;11693;11239;11414;11208;11234;11236;11235;11229;11213;11207;11212;11233;11221,Bedford Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
7,77;79;84;88;90;94;106;75;102;73;83;104;112;108;114,57;32;31;35;39;51;44;37;28;50;46;45;49,15;13;14;27;19;23;32;28;24;30,Fulton Area Business (FAB) Alliance;Graham Avenue?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;Grand Street?BID;Long Island City;Myrtle Avenue DMA;Woodhaven BID;Sunnyside Shines;Steinway Street BID,Brooklyn Navy Yards;Greenpoint/Williamsburg;Ridgewood;Woodside;North Brooklyn;Maspeth;Long Island City,308;302;301;410;305;409;316;303;304;405;482;406;402;401,BKN08;BKN02;BKN01;QE10;QW09;BKN05;BKN16;BKN03;BKN04;QW05;QW06;QW02;QW01,36;38;30;45;33;34;46;42;41,35;33;32;42;37;30;34;25;26;22,35;33;32;42;37;30;34;26;22,44;57;52;50;23;60;54;55;53;38;28;30;37;36;34,25;26;59;19;18;15;12,Prospect Heights;Bedford;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Fort Greene;Clinton Hill;Williamsburg;North Side-South Side;Greenpoint;Lindenwood-Howard Beach;Ozone Park;park-cemetery-etc-Brooklyn;East New York;park-cemetery-etc-Queens;Cypress Hills-City Line;Ocean Hill;Bushwick North;Ridgewood;Bushwick South;East Williamsburg;Woodhaven;Glendale;Middle Village;Elmhurst-Maspeth;Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria,11217;11238;11206;11201;11251;11205;11249;11211;11109;11222;11414;11208;11417;11207;11233;11237;11385;11221;11416;11421;11379;11378;11377;11104;11101;11106;11103,Fort Greene Historic District;Clinton Hill Historic District;Wallabout Historic District;Fillmore Place Historic District;Greenpoint Historic District;Eberhard Faber Pencil Company Historic District;Hunters Point Historic District;Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District;Stockholm Street Historic District;Sunnyside Gardens Historic District
13,24;23;26;28;32;30;25;33;52;46;34;50,10;11;16;12;18;13;27;19,2;3;5;4;9;6;10,Columbus Amsterdam BID;125th Street BID;Washington Heights BID;Fordham Road?BID;Kingsbridge?BID,,107;109;110;111;112;205;207;208,MN07;MN09;MN10;MN11;MN12;BX05;BX07;BX08,16;11;12;17;25;21,9;7;8;16;15;10;14;11,5;6;7;9;8;16;10;15;14;11,69;70;68;80;77;71;72;78;86;81,30;29;31;33,park-cemetery-etc-Manhattan;East Harlem South;Upper West Side;Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds;Hamilton Heights;East Harlem North;Norwood;Washington Heights South;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Washington Heights North;Van Cortlandt Village;Marble Hill-Inwood;Spuyten Duyvil-Kingsbridge,10029;10026;10024;10025;10115;10027;10030;10031;10032;10035;10037;10039;10033;10458;10453;10040;10034;10468;10463,Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Morningside Heights Historic District;Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Perry Avenue Historic District;Park Terrace West-West 217th Street Historic District
15,40;41;49;42;44;48;52;46;50;47,14;20;15;26;17;18;27;19,7;8;11;9;12;10,161st Street?BID;Morris Park BID;White Plains Road? BID;Jerome-Gun Hill?BID;HUB/3rd Avenue?BID;Belmont BID;Fordham Road?BID,Port Morris;Bathgate,201;202;211;227;203;204;206;205;207;208;226;212,BX01;BX02;BX11;BX03;BX04;BX06;BX05;BX07;BX08;BX12,23;26;24;22;25;21,8;17;13;12;16;15;14;11,8;13;12;17;16;15;14;11,85;87;82;80;83;84;77;79;78;86;81,29;34;36;32;31;33,Mott Haven-Port Morris;Longwood;park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;Norwood;Williamsbridge-Olinville;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale;Woodlawn-Wakefield,10451;10454;10455;10461;10462;10475;10469;10467;10459;10456;10452;10460;10457;10458;10453;10463;10471;10466;10470,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District;Grand Concourse Historic District;Longwood Historic District;Longwood Historic District Extension;Morris High School Historic District;Clay Avenue Historic District;Morris Avenue Historic District;Fieldston Historic District;Riverdale Historic District
16,47,15;27,11,,,212,BX12,24,12;11,12;11,83;81,36,Eastchester-Edenwald-Baychester;Williamsbridge-Olinville;Woodlawn-Wakefield,10466;10470,
12,17;9;13;10;14;18;19;20;22;24;23;26;114,8;4;6;7;9;10;11;45;12,1;2;3,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;14th Street BID;Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID;47th Street BID;5th Avenue BID;Lincoln Square BID;Columbus Avenue BID;Madison Avenue BID;Columbus Amsterdam BID,,106;105;103;104;108;107;164;109;111,MN06;MN05;MN03;MN04;MN08;MN07;MN09;MN11,14;13;15;16;12,5;4;2;3;6;7;8,2;5;4;3;6;7,74;76;73;66;75;67;69;68,59;28;27;47;30;29,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;East Village;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton;Lincoln Square;Upper East Side-Carnegie Hill;park-cemetery-etc-Manhattan;Yorkville;East Harlem South;Upper West Side;Morningside Heights,10009;10010;10016;10158;10178;10044;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10155;10065;10003;10011;10001;10047;10118;10120;10121;10119;10123;10122;10018;10036;10097;10019;10023;10069;10154;10152;10020;10111;10055;10112;10103;10104;10105;10151;10153;10106;10107;10021;10075;00083;10162;10028;10128;10029;10024;10025,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Treadwell Farm Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District;Madison Square North Historic District;West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Riverside - West 105th Street Historic District;Morningside Heights Historic District
14,110;114;41;115;109;43;45;49;42;48;47,52;46;45;49;3;20;15;26;18,25;24;30;7;8;11;12,Steinway Street BID;Throggs Neck BID;Westchester Square;Morris Park BID;Southern Boulevard?BID,Astoria;Hunts Point;Zerega;Eastchester,481;404;403;401;202;480;407;209;210;228;211;203;206;212,QW04;QW01;BX02;QW03;QE07;BX09;BX10;BX11;BX03;BX06;BX12,42;43;41;23;26;24;22,25;22;17;21;19;18;13;12;15,25;26;22;8;21;19;18;13;12;17;15,39;27;35;30;36;34;85;87;82;80;83;84;79,59;11;13;12;29;34;36;32;33,park-cemetery-etc-Queens;Airport;Corona;North Corona;Woodside;Queensbridge-Ravenswood-Long Island City;Astoria;Steinway;Jackson Heights;Rikers Island;Old Astoria;Mott Haven-Port Morris;Hunts Point;Longwood;East Elmhurst;College Point;Whitestone;Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Allerton-Pelham Gardens;Crotona Park East;Morrisania-Melrose;East Tremont,11373;11368;11354;11377;11106;11102;11103;11105;11372;11370;10474;10455;11369;11371;11356;11357;10473;10464;10472;10461;10462;10465;10475;10469;10459;10460;10466,Jackson Heights Historic District;Longwood Historic District;Manida Street Historic District
5,100;106;101;113;102;105;103;104;107;112,47;51;54;50;53;46,27;29;28;26;24,Greater JFK;Sutphin Boulevard BID;180th Street BID;Woodhaven BID;Jamaica Center BID;165th Street BID,JFK;Jamaica,414;484;410;483;412;409;413;405;482;408;406,QE14;QE10;QW09;QE12;QE13;QW05;QE08;QW06,45;44;46;43,32;31;28;27;29;24;23,32;28;31;27;30;24;29;23,23;31;29;32;24;38;28;33;25;27,10;14;19;15;16;11,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;South Ozone Park;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;Lindenwood-Howard Beach;Ozone Park;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;Baisley Park;St. Albans;Cambria Heights;Richmond Hill;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Woodhaven;Glendale;Airport;Kew Gardens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Forest Hills;Queens Village;Jamaica Estates-Holliswood,11693;11692;11694;11420;11436;11691;11096;11414;11208;11417;11430;11422;11413;11434;11419;11418;11451;11435;11411;11412;11433;11429;11697;11385;11416;11421;11415;11432;11375;11423;11428;11427,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
