pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
63,41;39;58;33,18;22,,Flatlands/Fairfield,318;356,BKS18,35,45;42;46,45;42;46,9;8,42;58;59;41,22;19;21,Midwood;Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,11210;11234;11229,
1,1;2,2,Downtown Alliance BID;SoHo Broadway BID;Hudson Square,,101;102,MN01;MN02,15,1;3,1;3,10,61;65;66,26;27,Battery Park City-Lower Manhattan;SoHo-TriBeCa-Civic Center-Little Italy;West Village;park-cemetery-etc-Manhattan,10004;10041;10043;10265;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10048;10281;10285;10282;10013;10012;10014,Governors Island Historic District;Ellis Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District
5,1;4;2,1;2,Chinatown;SoHo Broadway BID;Lower East Side BID,,101;103;102,MN01;MN03;MN02,14;15,1,1,10,65;66,27,SoHo-TriBeCa-Civic Center-Little Italy;Chinatown,10038;10007;10278;10013;10002;10012,African Burial Ground & The Commons Historic District;Tribeca East Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District
6,2;6,2,NoHo BID;Hudson Square;Village Alliance BID;14th Street BID;Meatpacking BID,,102,MN02,15,2;3,1;2;3,10,66,27;47,West Village,10012;10003;10014;10011,NoHo Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District
7,4,1;2,Chinatown;Lower East Side BID,,103,MN03,14,1;2,1;2,10,74;65,27,Lower East Side;Chinatown,10002,
9,4;2;6,1;2,NoHo BID;Village Alliance BID;14th Street BID,,103;102,MN03;MN02,14;15,2,1;2,10;12,74;65;66,27,Lower East Side;East Village;West Village,10009;10002;10012;10003,East 10th Street Historic District;Noho East Historic District;East Village / Lower East Side Historic District;NoHo Historic District Extension;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension
10,7;9,2,Meatpacking BID;Hudson Yards/Hell's Kitchen;34th Street BID,,105;104,MN05;MN04,15,3,3,10;12,66;75;67,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,10011;10001;10018;10036;10019,Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;West Chelsea Historic District
13,8;4;6;7,2,14th Street BID;Flatiron/23rd Street Partnership,,106;105;104,MN06;MN05;MN04,14;15,4;2;3,2;4;3,10;12,74;66;75,59;28;47,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,10009;10010;10016;10003;10011;10001;10047,Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District;Madison Square North Historic District
14,8;7;9,2,Bryant Park BID;Grand Central Partnership;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID,,105;104,MN05;MN04,14;13;15,4;2;3,2;4;3,12,74;73;75,59;28;47,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,10016;10178;10168;10165;10017;10170;10166;10110;10173;10175;10096;10001;10118;10120;10121;10119;10123;10122;10018;10036,
17,8,2,Grand Central Partnership;East Mid-Manhattan BID,,106,MN06,14;13;15,5;4;2,2;5;4,12,74;73,59;28,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Midtown-Midtown South,10010;10016;10158;10174;10017;10022;10155,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District
18,8;9,2;3,Grand Central Partnership;East Mid-Manhattan BID;Times Square BID;47th Street BID;5th Avenue BID;Lincoln Square BID;Madison Avenue BID,,105;104,MN05;MN04,13;15,4;3;6,4;3;6,12,73;75;67,28;47,Turtle Bay-East Midtown;Midtown-Midtown South;Clinton;Lincoln Square,10017;10169;10167;10177;10172;10171;10196;10022;10036;10097;10019;10023;10154;10152;10020;10111;10055;10112;10103;10104;10105;10151;10153;10106;10107,
19,10,2,East Mid-Manhattan BID;5th Avenue BID;Madison Avenue BID,,108,MN08,13;12,5;4;8,5;4,12,76;73;68,28;29,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill;Yorkville,10022;10065;10021;10075;10162;10028;10128,Treadwell Farm Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
20,9;11,3,Lincoln Square BID;Columbus Avenue BID,,107,MN07,15;16,6,3;6,12,75;67;69,47,Lincoln Square;Upper West Side,10023;10069;10024,West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District
22,10;12,3,,,164,,15,6,6,12,75;67;69;68,28;47;30,park-cemetery-etc-Manhattan,00083,
23,10;12,2;4,,,111,MN11,12,9;8,5;4;9;8,12;13,68,30;29,East Harlem South;East Harlem North,10029,Expanded Carnegie Hill Historic District
24,11,3,Columbus Amsterdam BID,,107,MN07,16,6;7,6;7,12;13,67;69,47;30,Upper West Side;Morningside Heights,10024;10025,Upper West Side/Central Park West Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District
25,16;12,5;4,,,111,MN11,11;12,9;8,9;8,13,70;68,30;29,park-cemetery-etc-Manhattan;Central Harlem North-Polo Grounds;East Harlem North,10029;10027;10035;10037,
26,11;16,3;5;6,125th Street BID,,109,MN09,16;17,9;7,7;9,12;13,69;70,30,Morningside Heights;Manhattanville;Hamilton Heights,10026;10024;10025;10115;10027;10031,Morningside Heights Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension
28,11;16;12,3;5,125th Street BID,,110,MN10,11,9,9,13,69;70;68,30;29,Central Harlem South;Central Harlem North-Polo Grounds,10026;10027,Mount Morris Park Historic District;Mount Morris Park Historic District Extension
30,16;13,5;6,,,109;110,MN09;MN10,16;17,9;7,7;9,13,70;71,30,Manhattanville;Hamilton Heights,10027;10030;10031;10032;10039,Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District
32,11;16,5,,,110,MN10,11,9,9,13,70;71,30,Central Harlem North-Polo Grounds,10027;10030;10037;10039,Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District
33,13,6,,,112,MN12,17,7;10,7;10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South,10031;10032;10033,Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District
34,13,6,Washington Heights BID,,112,MN12,17,10,10,13,71;72,31,park-cemetery-etc-Manhattan;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10033;10040;10034,Park Terrace West-West 217th Street Historic District
40,14;26,7;8,HUB/3rd Avenue?BID,Port Morris,201,BX01,23,8;17,8;17,15,84;79,29;32,Mott Haven-Port Morris;Melrose South-Mott Haven North;West Concourse,10451;10454;10455;10459;10456,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District
41,3;26,7;8;12,Southern Boulevard?BID,Hunts Point,202,BX02,23;22,17,8;18;17,14;15,85;84;79,29;32,Mott Haven-Port Morris;Hunts Point;Longwood;Crotona Park East;Morrisania-Melrose,10474;10455;10459,Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension
42,14;26;17;18,7;8;9;12,,Bathgate,203,BX03,23;26;22;25,17;16;15,17;16;15,14;15,85;77;79,29;32,Longwood;park-cemetery-etc-Bronx;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;Claremont-Bathgate,10451;10459;10456;10460;10457,Morris High School Historic District
43,3;20;26;18,8;11;12,,Zerega,209,BX09,26;22,17;18,18;13;17,14,85;87;82,29;34;32,Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Crotona Park East,10473;10472;10462;10459;10460,
44,14;17;19,7;9,161st Street?BID,,204,BX04,23;22;25,8;17;16;15;14,8;17;16;15;14,15,84;77;79;86,29;32;31,park-cemetery-etc-Bronx;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10456;10452;10457,Grand Concourse Historic District;Clay Avenue Historic District
45,3;20;15,8;11,Throggs Neck BID;Westchester Square,Zerega;Eastchester,210;228,BX10,26;24,18;13;12,18;13;12,14,87;82,34;36,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Co-op City;Van Nest-Morris Park-Westchester Square,10464;10461;10462;10465;10475;10469,
46,17;18;19,9;10,Fordham Road?BID,,205,BX05,25;21,16;15;14,16;15;14,13;15,77;78;86,32;31;33,Mount Hope;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights,10452;10457;10458;10453;10468,Morris Avenue Historic District
47,15;27,11;10,,Eastchester,227;226;212,BX12,24;21,13;12;11,13;12;15;11,14;15;16,82;80;83;81,34;36;33,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10464;10475;10469;10467;10466;10470,
48,20;17;18,9;12;10,Belmont BID;Fordham Road?BID,Bathgate,206,BX06,26;22;25;21,17;15,18;17;15,14;15,87;79;78;86,32;33,West Farms-Bronx River;Van Nest-Morris Park-Westchester Square;Crotona Park East;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South,10460;10457;10458,
49,20;15;18;27,11;12,Westchester Square;Morris Park BID;White Plains Road? BID,,209;211;227,BX09;BX11,26;24;21,13;12;15;11,13;12;15,14;15,87;82;80;83;78,34;36;33,West Farms-Bronx River;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;East Tremont,10461;10462;10469;10467;10460,
50,15;27;19,10,Kingsbridge?BID,,208;226,BX08,17;21,10;14;11,10;14;11,13;15,72;78;81,31;33,park-cemetery-etc-Bronx;Van Cortlandt Village;Marble Hill-Inwood;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10468;10463;10471,Fieldston Historic District;Riverdale Historic District
52,20;15;18;27;19,10,Jerome-Gun Hill?BID;Fordham Road?BID,,227;206;207;208;212,BX06;BX07;BX08;BX12,26;17;25;21,16;15;10;14;11,10;15;14;11,13;15,87;80;72;78;86;81,31;33,park-cemetery-etc-Bronx;Norwood;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Marble Hill-Inwood,10462;10467;10460;10458;10453;10468;10463,Perry Avenue Historic District
60,43,21,Brighton Beach?BID,,313,BKS13,37,47;48;43,47;43;48,11;8,47;46;45,23;17;22,Seagate-Coney Island;Bensonhurst East;Brighton Beach;West Brighton;Gravesend,11224;11214;11223;11235,
61,43;33,21;22,Kings Highway?BID,,315;318;356,BKS15;BKS18,37;35,47;48;44;43;46,47;44;48;45;46,9;8,45;59;41,23;17;22,Bensonhurst East;Brighton Beach;Homecrest;Midwood;Gravesend;Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,11223;11210;11235;11229,
62,42;43;40,20;21,,,311,BKS11,31;37;35,50;47;44;43;38,47;43;44;38,11;9;10,47;46;49;45,23;17;22;26,Bensonhurst East;Bath Beach;Dyker Heights;Ocean Parkway South;Gravesend;Bensonhurst West;Borough Park,11214;11219;11228;11223;11230;11204,
