sa,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,ss,nta,zipcode,hd
32,113;102;103;107,54;50,27;29;28,Greater JFK;Sutphin Boulevard BID;Jamaica Center BID,JFK;Jamaica,412;409;408,QW09;QE12;QE08,45;44,28;27;29;24,28;31;27;24,5;6,10;14;15;11,Springfield Gardens North;Baisley Park;St. Albans;Richmond Hill;South Jamaica;Jamaica;Briarwood-Jamaica Hills,11436;11434;11419;11451;11435;11433;11432,
35,112;110;114;115,52;46;49,28;25;24;30,,Astoria,406;481;404;403;401;480,QW06;QW04;QW01;QW03,46;42;43,29;24;25;22;21,29;25;22;21,6;14,14;15;16;11;13;12,park-cemetery-etc-Queens;Airport;Forest Hills;Rego Park;Elmhurst;Corona;North Corona;Steinway;Jackson Heights;East Elmhurst,11375;11374;11373;11368;11370;11369;11371,
40,110;109,52,25,Downtown Flushing,,407,QE07,43,20;19,20;19,6;3,16;11,park-cemetery-etc-Queens;East Flushing;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;Whitestone,11355;11368;11358;11354;11357,
48,70;66,42;41;48;40;33,20;21;15;22,,,314;312,BKS14;BKS12,31;37;39;35,44;45;40;43;39,44;48;45;39;38,9;10,22;21,Ocean Parkway South;Midwood;Kensington-Ocean Parkway;Flatbush;Borough Park,11219;11218;11230;11204,
54,75;83,39;44;37;28,19;23;32,,Ridgewood,305;304,BKN05;BKN04,33;34,42;37,42;37;34,8;7,25;19;18;12,park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Bushwick North;Bushwick South,11208;11207;11237;11221,
55,71;77;69;75;67;73;81,38;39;58;44;37,17;19;18;23;16,East Brooklyn?BID;Pitkin Avenue?BID,East New York,309;308;305;317;316;303,BKN09;BKN08;BKN17;BKN05;BKN16;BKN03,33;32;34,36;42;41;37,36;42;41;37,9;8;7,20;25;19,Crown Heights North;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville;Ocean Hill;Stuyvesant Heights,11213;11207;11212;11233;11221,
56,77;79;81,38;57;37,17;13;14;16,Bed-Stuy Gateway?BID,,308;303,BKN08;BKN03,36;32;34,36;41,36;41,9;8,20;25,Crown Heights North;Bedford;Stuyvesant Heights;Bushwick South,11216;11206;11213;11233;11221,Crown Heights North III Historic District;Crown Heights North Historic District;Bedford Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
79,40;41;42;44;48,14;26;17;18,7;8;9;12,161st Street?BID;HUB/3rd Avenue?BID,Bathgate,201;202;203;204;206,BX01;BX02;BX03;BX04;BX06,23;22;25,17;16;15,17;16;15,14;15,29;32,Longwood;park-cemetery-etc-Bronx;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;Claremont-Bathgate;East Tremont,10451;10455;10459;10456;10460;10457,Morris High School Historic District
85,114;41;43;42,49;3;26;18,7;8;12,Southern Boulevard?BID,Hunts Point,401;202;209;203,QW01;BX02;BX09;BX03,23;26;22,22;17;18,22;8;18;17,14;15,11;29;34;32,Rikers Island;Mott Haven-Port Morris;Hunts Point;Longwood;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;West Farms-Bronx River;park-cemetery-etc-Bronx;Crotona Park East;Morrisania-Melrose,11370;10474;10455;10473;10472;10459;10460,Longwood Historic District;Manida Street Historic District
25,107;110;111;109,50;53;52,29;28;26;25,,,408;481;411;407,QE08;QE11;QE07,45;43,24;23;20;19,24;23;20;19,5;6,14;16;11,park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Fresh Meadows-Utopia;Oakland Gardens;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing,11435;11432;11366;11364;11365;11355;11358;11361,
