sd,pp,fb,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
17,70;71;78;77;67;73,41;38;57;48;58;44,Church Avenue?BID;Flatbush Avenue?BID,,314;309;308;355;317;316,BKS14;BKN09;BKN08;BKN17;BKN16,36;39;35;33;32,45;40;35;36;39;41,45;40;35;36;39;41,9;10;8,42;43;44;57;58;55;56,20;25;19;21,Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;Brownsville;Ocean Hill,11218;11226;11225;11215;11238;11216;11203;11213;11212;11233,Prospect Park South Historic District;Melrose Parkside Historic District;Ocean on the Park Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District
32,90;83,57;44;37;28,,Ridgewood;North Brooklyn,301;304,BKN01;BKN04,30;34,37;34,37;34,7,54;53,25;18;12,Bushwick North;Bushwick South,11206;11207;11237;11221,
16,77;79;73;81,38;57;44;37,Bed-Stuy Gateway?BID,,308;316;303,BKN08;BKN16;BKN03,36;32;34,36;41,36;41,9;8,43;55;56,20;25,Crown Heights North;Bedford;Ocean Hill;Stuyvesant Heights,11206;11213;11233;11221,Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
13,78;77;79;84;88;81,38;57;48;32;31;37,North Flatbush?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;DUMBO,Brooklyn Navy Yards,308;355;306;302;303,BKN08;BKS06;BKN02;BKN03,36;38;15;32,35;36;39;1;33,35;36;39;1;33,9;10;8;7,44;57;52;65;56,20;25;26,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn;Stuyvesant Heights,11215;11217;11238;11216;11206;11201;11251;11205;11213;11233;11221,Park Slope Historic District;Park Slope Historic District Extension II;Fort Greene Historic District;Prospect Heights Historic District;Bedford Historic District;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;Clinton Hill Historic District;Wallabout Historic District;DUMBO Historic District;Fulton Ferry Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
25,102;107;112;110;111;115;109,50;53;52;49,Downtown Flushing,,408;481;403;411;407,QE08;QE11;QW03;QE07,43,24;20;21;19,24;20;21;19,6;3;14,25;27;35;40;26,14;16;11;13,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11432;11367;11366;11365;11355;11368;11358;11354;11360;11359;11356;11357,Fort Totten Historic District
29,113;105;103;107,54;50;53,Greater JFK;180th Street BID;Jamaica Center BID,JFK;Jamaica,412;413;408,QE12;QE13;QE08,45;44;43,31;28;27;24;23,31;27;24;23,5;6;3,31;29;32;24;33;25,10;14;16;11,Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;St. Albans;Cambria Heights;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Queens Village;Jamaica Estates-Holliswood;Bellerose,11422;11413;11434;11411;11412;11433;11429;11432;11423;11428;11427;11426,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
10,48;52;46;50;47,20;15;17;18;27;19,Jerome-Gun Hill?BID;Belmont BID;Fordham Road?BID;Kingsbridge?BID,,227;206;205;207;208;226;212,BX06;BX05;BX07;BX08;BX12,26;25;21,16;15;14;11,17;16;15;14;11,13;15,87;80;77;78;86;81,36;32;31;33,park-cemetery-etc-Bronx;Norwood;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10462;10467;10460;10457;10458;10453;10468;10463;10471;10470,Perry Avenue Historic District;Fieldston Historic District;Riverdale Historic District
26,105;107;111;109,54;50;53;52,Bayside Village,,413;408;411;407,QE13;QE08;QE11;QE07,44;43,24;23;20;19,24;23;20;19,5;6;3,24;33;25;26,16;11,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Queens Village;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Murray Hill;Ft. Totten-Bay Terrace-Clearview,11432;11423;11366;11427;11001;11426;11004;11364;11040;11365;11005;11362;11358;11361;11363;11360,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District
18,71;69;63;67;73,41;38;39;58,,Flatlands/Fairfield,309;318;356;317;316,BKN09;BKS18;BKN17;BKN16,35;33,45;40;42;46;41,45;40;42;46;41,9;8,43;58;59;41;60;55,20;19;21,Erasmus;Prospect Lefferts Gardens-Wingate;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;East New York;Brownsville,11234;11236;11203;11212,
15,78;66;72;76;84;88,57;48;40;32;31,North Flatbush?BID;Fulton Area Business (FAB) Alliance;Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;MetroTech?BID,Southwest Brooklyn,312;307;306;302,BKS12;BKS07;BKS06;BKN02,36;39;38;15;35,44;40;35;43;38;39;1;33,44;40;35;39;38;1;33,9;10;7,49;48;42;44;57;51;61;52,17;22;20;25;26;21,Kensington-Ocean Parkway;Windsor Terrace;Borough Park;Sunset Park East;Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Fort Greene;park-cemetery-etc-Manhattan;park-cemetery-etc-Brooklyn,11219;11220;11218;11215;11217;11232;11231;11201,Park Slope Historic District Extension;Park Slope Historic District;Brooklyn Academy of Music Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District;Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District
