zipcode,pp,fb,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,hd
11436,113,54;50,27;28,,,412,QE12,45;44,28,28,5,31;32,10,Baisley Park,
11213,71;77;79;81,38,17;13;16,Bed-Stuy Gateway?BID,,309;308;303,BKN09;BKN08;BKN03,32,35;36;41,35;36;41,9;8,43;58;55;56,20,Crown Heights South;Crown Heights North,Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Alice and Agate Courts Historic District
11212,67;73,58;44,17;19;18;23,East Brooklyn?BID;Pitkin Avenue?BID,East New York,317;316,BKN17;BKN16,35;33,42;41;37,42;41;37,9;8,58;60;55,20;25;19,Prospect Lefferts Gardens-Wingate;Rugby-Remsen Village;Brownsville,
11225,71,41;38,17,,,309,BKN09,36;35;32,40;35,40;35,9;10,43;44;57,20,Prospect Lefferts Gardens-Wingate;Crown Heights South,Chester Court Historic District;Prospect Lefferts Gardens Historic District
11218,70;66;72,41;48,20;17;15;22,Church Avenue?BID,,314;312;307,BKS14;BKS12;BKS07,39;35,44;40;39,44;40;39,9;10,48;42;44,17;22;20;21,Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Borough Park,Prospect Park South Historic District
11226,70;71;67,41;38,17;22,Church Avenue?BID;Flatbush Avenue?BID,,314;309;317,BKS14;BKN09;BKN17,39;35;32,45;40,45;40,9;10,42;43;44,20;21,Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,Ditmas Park Historic District;East 25th Street Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District
11219,62;68;66,42;48;40,20;15,,,311;310;312,BKS10;BKS11;BKS12,31;39,44;43;38;39,43;44;39;38,11;9;10,49;48;51,17;22,Dyker Heights;Bensonhurst West;Borough Park;Sunset Park East,
11210,70;63;67,41;33,22,Flatbush-Nostrand Junction?BID,Flatlands/Fairfield,314;318;317,BKS14;BKS18;BKN17,35,48;44;45,48;45,9,42;58;41,22;21,Midwood;Flatbush;Flatlands;East Flatbush-Farragut,
11230,62;70;66,42;41;48;33,20;21;22,,,311;314;312,BKS14;BKS11;BKS12,37;35,48;44;45;40,44;48;45;40,9,47;45;48;42;44;41,22;21,Homecrest;Ocean Parkway South;Midwood;Flatbush;Borough Park,Fiske Terrace-Midwood Park Historic District
11204,62;66,42;48;40,20;21,,,311;312,BKS11;BKS12,31;37;35,44;43;38;39,47;43;44;39;38,11;9,47;49;48;44,17;22,Bensonhurst East;Ocean Parkway South;Bensonhurst West;Borough Park,
10471,50,15;27;19,10,,,208;226,BX08,21,11,11,15,81,33,park-cemetery-etc-Bronx;North Riverdale-Fieldston-Riverdale,Fieldston Historic District;Riverdale Historic District
10470,47,15,11;10,,,226;212,BX12,24;21,11,11,15;16,83;81,36;33,park-cemetery-etc-Bronx;Woodlawn-Wakefield,
10466,47,15;27,11,,Eastchester,212,BX12,24,12;11,12;11,14;15;16,83;81,36,Eastchester-Edenwald-Baychester;Williamsbridge-Olinville;Woodlawn-Wakefield,
10467,49;52;47,15;27;19,11;10,Jerome-Gun Hill?BID,,211;227;207;212,BX11;BX07;BX12,26;24;21,13;12;15;11,13;12;15;11,13;15,80;83;78;81,36;33,park-cemetery-etc-Bronx;Pelham Parkway;Bronxdale;Norwood;Williamsbridge-Olinville,
10463,52;50,27;19,10,Kingsbridge?BID,,207;208,BX07;BX08,21,14;11,14;11,13;15,78;86;81,31;33,Kingsbridge Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,
10475,45;47,15,11,,Eastchester,210;228;212,BX10;BX12,24,13;12,13;12,14;15,82;83,34;36,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester,
